label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        $1000 or more,26418,2085,25.8,1.7,16176,1484,27.7,2.1,2752,705,5.0,1.3,3807,756,8.8,1.7,25571,2245,15.2,1.3,14433,1656,24.8,2.4,3441,760,26.8,5.3
        Median (dollars),683,17,N/A,N/A,757,17,N/A,N/A,492,12,N/A,N/A,470,15,N/A,N/A,552,13,N/A,N/A,801,18,N/A,N/A,725,51,N/A,N/A
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),252059,5903,252059,N/A,179932,4225,179932,N/A,185001,4598,185001,N/A,105076,3531,105076,N/A,283641,7153,283641,N/A,204134,4314,204134,N/A,81292,2528,81292,N/A
        Less than 20.0 percent,90558,3423,35.9,1.2,80006,2807,44.5,1.5,93836,4254,50.7,1.8,47146,2632,44.9,2.4,118577,5537,41.8,1.5,91350,3454,44.8,1.5,36591,2241,45.0,2.5
        20.0 to 24.9 percent,39995,2727,15.9,1.0,26948,2376,15.0,1.2,30990,2441,16.8,1.3,15606,1815,14.9,1.6,44766,3422,15.8,1.1,34230,2497,16.8,1.2,15220,1428,18.7,1.7
        25.0 to 29.9 percent,32906,2670,13.1,1.0,21222,1972,11.8,1.1,20804,2932,11.2,1.5,12241,1811,11.6,1.6,30198,2515,10.6,0.9,24204,2047,11.9,0.9,11235,1433,13.8,1.6
        30.0 to 34.9 percent,23791,2028,9.4,0.7,13252,1702,7.4,0.9,12005,1884,6.5,1.0,7556,1156,7.2,1.1,19537,2214,6.9,0.8,15206,1603,7.4,0.7,5269,1204,6.5,1.5
        35.0 percent or more,64809,3255,25.7,1.1,38504,2668,21.4,1.4,27366,2398,14.8,1.3,22527,2384,21.4,2.1,70563,3528,24.9,1.2,39144,2561,19.2,1.2,12977,1676,16.0,1.9
    Not computed,1282,616,N/A,N/A,440,253,N/A,N/A,618,361,N/A,N/A,731,494,N/A,N/A,1365,606,N/A,N/A,837,443,N/A,N/A,348,252,N/A,N/A
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),101377,3128,101377,N/A,57532,2803,57532,N/A,54314,3097,54314,N/A,42683,2837,42683,N/A,165867,5776,165867,N/A,57966,2718,57966,N/A,12759,1246,12759,N/A
        Less than 10.0 percent,52786,2660,52.1,2.1,31813,2353,55.3,2.8,30054,2207,55.3,3.3,20651,2056,48.4,3.8,66965,3705,40.4,1.8,30056,1988,51.9,2.7,7113,1085,55.7,6.5
        10.0 to 14.9 percent,16386,1888,16.2,1.8,8492,1090,14.8,1.9,9859,1408,18.2,2.2,7560,1134,17.7,2.7,36817,2797,22.2,1.4,11377,1269,19.6,1.9,1836,606,14.4,4.6
        15.0 to 19.9 percent,8621,1224,8.5,1.2,4540,863,7.9,1.4,5561,1017,10.2,1.8,4751,1081,11.1,2.4,20991,1885,12.7,1.1,5618,825,9.7,1.4,951,349,7.5,2.9
        20.0 to 24.9 percent,5086,1006,5.0,1.0,3663,807,6.4,1.4,2434,720,4.5,1.3,2930,901,6.9,1.9,12669,1857,7.6,1.0,3280,843,5.7,1.4,640,349,5.0,2.6
        25.0 to 29.9 percent,3724,947,3.7,0.9,1926,472,3.3,0.8,1233,511,2.3,0.9,2012,663,4.7,1.5,7635,1327,4.6,0.8,1909,607,3.3,1.0,447,297,3.5,2.3
        30.0 to 34.9 percent,2695,686,2.7,0.7,1232,381,2.1,0.6,1335,533,2.5,1.0,1414,599,3.3,1.4,4759,894,2.9,0.5,1191,502,2.1,0.9,271,238,2.1,1.9
        35.0 percent or more,12079,1624,11.9,1.6,5866,1068,10.2,1.7,3838,980,7.1,1.6,3365,706,7.9,1.5,16031,1865,9.7,1.1,4535,854,7.8,1.4,1501,646,11.8,4.6
    Not computed,1094,432,N/A,N/A,887,518,N/A,N/A,402,240,N/A,N/A,558,459,N/A,N/A,2249,729,N/A,N/A,163,167,N/A,N/A,78,99,N/A,N/A
GROSS RENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied units paying rent,270960,5811,270960,N/A,128949,3708,128949,N/A,138709,3865,138709,N/A,122195,4250,122195,N/A,441672,8197,441672,N/A,125702,4124,125702,N/A,N/A,N/A,N/A,N/A
        Less than $500,9452,1444,3.5,0.5,4648,1002,3.6,0.8,6291,1199,4.5,0.9,14205,1786,11.6,1.5,25104,2611,5.7,0.6,4380,1142,3.5,0.9,N/A,N/A,N/A,N/A
        $500 to $999,21455,2274,7.9,0.8,9255,1845,7.2,1.4,64197,3504,46.3,2.2,57748,4226,47.3,3.0,217200,7401,49.2,1.3,5034,1053,4.0,0.8,N/A,N/A,N/A,N/A
        $1000 to $1499,49107,3351,18.1,1.2,36949,2567,28.7,1.9,50426,3270,36.4,2.2,37470,3061,30.7,2.3,139629,5682,31.6,1.2,29434,2878,23.4,2.0,N/A,N/A,N/A,N/A
        $1500 to $1999,68355,3438,25.2,1.2,43614,2723,33.8,2.0,12975,2270,9.4,1.6,8587,1812,7.0,1.5,42499,3259,9.6,0.7,45471,2716,36.2,2.1,N/A,N/A,N/A,N/A
        $2000 to $2499,55231,3844,20.4,1.3,19471,2378,15.1,1.7,3498,931,2.5,0.7,2554,777,2.1,0.6,9898,1516,2.2,0.3,23526,2468,18.7,1.9,N/A,N/A,N/A,N/A
        $2500 to $2999,35640,3121,13.2,1.1,8504,1235,6.6,0.9,646,422,0.5,0.3,1082,547,0.9,0.4,3356,1066,0.8,0.2,10651,1625,8.5,1.3,N/A,N/A,N/A,N/A
        $3000 or more,31720,2591,11.7,0.9,6508,1269,5.0,1.0,676,292,0.5,0.2,549,343,0.4,0.3,3986,1069,0.9,0.2,7206,1136,5.7,0.9,N/A,N/A,N/A,N/A
        Median (dollars),1906,25,N/A,N/A,1656,24,N/A,N/A,995,15,N/A,N/A,924,22,N/A,N/A,956,12,N/A,N/A,1764,25,N/A,N/A,1676,67,N/A,N/A
    No rent paid,7014,1200,N/A,N/A,3718,962,N/A,N/A,3594,1008,N/A,N/A,2944,741,N/A,N/A,10456,1535,N/A,N/A,4020,859,N/A,N/A,N/A,N/A,N/A,N/A
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied units paying rent (excluding units where GRAPI cannot be computed),266656,5783,266656,N/A,127116,3689,127116,N/A,137219,3875,137219,N/A,119060,4407,119060,N/A,431269,8035,431269,N/A,124434,4161,124434,N/A,24551,2453,24551,N/A
        Less than 15.0 percent,37218,2826,14.0,1.1,11780,1579,9.3,1.2,18205,2274,13.3,1.6,14435,2278,12.1,1.8,54202,4278,12.6,0.9,15279,2099,12.3,1.6,2733,757,11.1,3.1
        15.0 to 19.9 percent,35608,2918,13.4,1.0,14855,1626,11.7,1.3,21989,2344,16.0,1.7,16453,2064,13.8,1.6,59058,4608,13.7,1.0,17797,2152,14.3,1.6,3287,1121,13.4,4.4
        20.0 to 24.9 percent,34989,2480,13.1,0.9,17859,2110,14.0,1.6,16865,2322,12.3,1.6,16589,2197,13.9,1.8,61326,3391,14.2,0.8,19440,2176,15.6,1.7,4596,1128,18.7,4.4
        25.0 to 29.9 percent,32246,2843,12.1,1.0,15691,2077,12.3,1.6,19080,2598,13.9,1.9,16195,2057,13.6,1.7,50867,3246,11.8,0.7,16723,1977,13.4,1.5,2433,815,9.9,3.1
        30.0 to 34.9 percent,22037,2089,8.3,0.8,12192,1816,9.6,1.4,14035,2096,10.2,1.5,10841,1733,9.1,1.5,37680,3045,8.7,0.7,12371,1881,9.9,1.5,2075,833,8.5,3.3
        35.0 percent or more,104558,5247,39.2,1.7,54739,3739,43.1,2.5,47045,3474,34.3,2.2,44547,3301,37.4,2.1,168136,5045,39.0,1.0,42824,3278,34.4,2.3,9427,1768,38.4,5.6
    Not computed,11318,1797,N/A,N/A,5551,1266,N/A,N/A,5084,1129,N/A,N/A,6079,1215,N/A,N/A,20859,2276,N/A,N/A,5288,1145,N/A,N/A,1531,772,N/A,N/A
