area_fips,own_code,Industry_Code,agglvl_code,year,qtr,annual_avg_estabs,annual_avg_emplvl,total_annual_wages,avg_annual_pay
48113,5,102,72,2023,A,76073,1428641,123000000000.00,86308.00
48113,5,1021,73,2023,A,16725,383862,28782909432.00,74982.00
48113,5,1023,73,2023,A,10817,166715,21734164004.00,130367.00
48113,5,1024,73,2023,A,20684,410778,43352115536.00,105536.00
48113,5,1025,73,2023,A,10778,210098,14620394847.00,69589.00
48113,5,54,74,2023,A,14623,200566,26044372002.00,129855.00
48113,5,541,75,2023,A,14623,200566,26044372002.00,129855.00
48113,5,62,74,2023,A,9726,181312,12849711700.00,70871.00
47037,0,10,70,2020,A,25678,479643,32051222987.00,66823.00
47037,1,10,71,2020,A,98,8291,683009007.00,82376.00
47037,1,102,72,2020,A,98,8291,683009007.00,82376.00
47037,1,1021,73,2020,A,31,2046,153792804.00,75180.00
47037,1,1023,73,2020,A,3,91,9256792.00,102285.00
47037,1,1024,73,2020,A,3,393,33220931.00,84585.00
47037,1,1025,73,2020,A,3,2295,211571126.00,92205.00
47037,1,54,74,2020,A,3,393,33220931.00,84585.00
47037,1,541,75,2020,A,3,393,33220931.00,84585.00
47037,1,62,74,2020,A,3,2295,211571126.00,92205.00
47037,2,10,71,2020,A,70,20140,1266158453.00,62869.00
47037,2,102,72,2020,A,70,20140,1266158453.00,62869.00
47037,2,1024,73,2020,A,1,0,-,-
47037,2,1025,73,2020,A,10,3226,178358640.00,55284.00
47037,2,62,74,2020,A,5,873,47491286.00,54410.00
47037,3,10,71,2020,A,29,24503,1373676183.00,56061.00
47037,3,102,72,2020,A,29,24503,1373676183.00,56061.00
47037,3,1021,73,2020,A,4,1392,139940204.00,100550.00
47037,3,1023,73,2020,A,3,0,-,-
47037,3,1024,73,2020,A,3,0,-,-
47037,3,1025,73,2020,A,4,0,-,-
47037,3,54,74,2020,A,1,0,-,-
47037,3,541,75,2020,A,1,0,-,-
47037,3,62,74,2020,A,2,0,-,-
47037,5,10,71,2020,A,25482,426709,28728379344.00,67326.00
47037,5,101,72,2020,A,2391,44406,2981791230.00,67148.00
47037,5,102,72,2020,A,23091,382302,25746588114.00,67346.00
47037,5,1021,73,2020,A,5263,87939,4716098102.00,53629.00
47037,5,1023,73,2020,A,2591,32492,3333084554.00,102582.00
47037,5,1024,73,2020,A,5688,89455,7293269203.00,81530.00
47037,5,1025,73,2020,A,2632,95425,6710481711.00,70322.00
47037,5,54,74,2020,A,3769,37612,4194915784.00,111532.00
47037,5,541,75,2020,A,3769,37612,4194915784.00,111532.00
47037,5,62,74,2020,A,2275,77948,5541758300.00,71095.00
47037,0,10,70,2021,A,28150,500477,36214722595.00,72360.00
47037,1,10,71,2021,A,97,8228,700448158.00,85135.00
47037,1,102,72,2021,A,97,8228,700448158.00,85135.00
47037,1,1021,73,2021,A,31,2179,166913076.00,76598.00
47037,1,1023,73,2021,A,3,88,9506827.00,108237.00
47037,1,1024,73,2021,A,3,399,33467119.00,83983.00
47037,1,1025,73,2021,A,3,2292,213542980.00,93162.00
47037,1,54,74,2021,A,3,399,33467119.00,83983.00
47037,1,541,75,2021,A,3,399,33467119.00,83983.00
47037,1,62,74,2021,A,3,2292,213542980.00,93162.00
47037,2,10,71,2021,A,71,0,-,-
47037,2,102,72,2021,A,71,0,-,-
47037,2,1024,73,2021,A,1,0,-,-
47037,2,1025,73,2021,A,11,3127,182809601.00,58455.00
47037,2,62,74,2021,A,5,841,48613683.00,57810.00
47037,3,10,71,2021,A,27,0,-,-
47037,3,102,72,2021,A,27,0,-,-
47037,3,1021,73,2021,A,4,1360,142836719.00,105001.00
47037,3,1023,73,2021,A,3,0,-,-
47037,3,1024,73,2021,A,2,0,-,-
47037,3,1025,73,2021,A,4,0,-,-
47037,3,54,74,2021,A,1,0,-,-
47037,3,541,75,2021,A,1,0,-,-
47037,3,62,74,2021,A,2,0,-,-
47037,5,10,71,2021,A,27955,448956,32800049472.00,73059.00
47037,5,101,72,2021,A,2603,46013,3270654388.00,71081.00
47037,5,102,72,2021,A,25352,402942,29529395084.00,73284.00
47037,5,1021,73,2021,A,5505,91364,5347039614.00,58524.00
47037,5,1023,73,2021,A,2852,33652,3939916901.00,117077.00
47037,5,1024,73,2021,A,6534,96068,8400821779.00,87446.00
47037,5,1025,73,2021,A,2820,98065,7379556562.00,75252.00
47037,5,54,74,2021,A,4421,39741,4750462931.00,119534.00
47037,5,541,75,2021,A,4421,39741,4750462931.00,119534.00
47037,5,62,74,2021,A,2412,80511,6137296131.00,76229.00
47037,0,10,70,2022,A,31469,533519,40681623098.00,76252.00
47037,1,10,71,2022,A,95,8309,743531458.00,89489.00
47037,1,102,72,2022,A,95,8309,743531458.00,89489.00
47037,1,1021,73,2022,A,32,2250,178282968.00,79249.00
47037,1,1023,73,2022,A,3,78,8312279.00,106910.00
