unnamed_0,geographic_area_name_name,2017_naics_code_naics2017,meaning_of_legal_form_of_organization_code_lfo_label,meaning_of_employment_size_of_establishments_code_empszes_label,year_year,number_of_establishments_estab,annual_payroll_1000_payann,firstquarter_payroll_1000_payqtr1,number_of_employees_emp
1074,Davidson County Tennessee,81,All establishments,All establishments,2021,1962,765694,174563,17842
1082,Davidson County Tennessee,99,All establishments,All establishments,2021,23,2728,491,34
1084,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),Annual payroll ($1000) (PAYANN),First-quarter payroll ($1000) (PAYQTR1),Number of employees (EMP)
1085,Fairfax County Virginia,0,All establishments,All establishments,2019,31619,55389346,14447518,656234
1095,Fairfax County Virginia,11,All establishments,All establishments,2019,6,15793,3324,163
1097,Fairfax County Virginia,21,All establishments,All establishments,2019,5,8696,2468,81
1098,Fairfax County Virginia,22,All establishments,All establishments,2019,16,160002,46689,1375
1102,Fairfax County Virginia,23,All establishments,All establishments,2019,2390,2253160,535909,28896
1111,Fairfax County Virginia,31-33,All establishments,All establishments,2019,341,356684,84535,5804
1118,Fairfax County Virginia,42,All establishments,All establishments,2019,810,1916389,468884,15106
1127,Fairfax County Virginia,44-45,All establishments,All establishments,2019,2628,1782575,420056,51262
1136,Fairfax County Virginia,48-49,All establishments,All establishments,2019,428,423770,105842,8696
1144,Fairfax County Virginia,51,All establishments,All establishments,2019,898,5703335,1674451,40137
1154,Fairfax County Virginia,52,All establishments,All establishments,2019,1659,4406011,1442312,31021
1164,Fairfax County Virginia,53,All establishments,All establishments,2019,1710,936599,244045,11348
1172,Fairfax County Virginia,54,All establishments,All establishments,2019,8784,24345467,6137831,218675
1182,Fairfax County Virginia,55,All establishments,All establishments,2019,311,2509093,734019,18949
1191,Fairfax County Virginia,56,All establishments,All establishments,2019,1818,3418446,821559,62234
1201,Fairfax County Virginia,61,All establishments,All establishments,2019,684,743719,187716,13745
1210,Fairfax County Virginia,62,All establishments,All establishments,2019,3470,3796073,893582,66535
1220,Fairfax County Virginia,71,All establishments,All establishments,2019,413,340486,94353,10637
1227,Fairfax County Virginia,72,All establishments,All establishments,2019,2498,1095064,259182,47190
1235,Fairfax County Virginia,81,All establishments,All establishments,2019,2707,1176799,290597,24341
1242,Fairfax County Virginia,99,All establishments,All establishments,2019,43,1185,164,39
1244,Fairfax County Virginia,0,All establishments,All establishments,2020,31769,57393417,15250175,672100
1257,Fairfax County Virginia,11,All establishments,All establishments,2020,5,21085,5326,220
1259,Fairfax County Virginia,21,All establishments,All establishments,2020,5,7020,1899,70
1261,Fairfax County Virginia,22,All establishments,All establishments,2020,19,167271,49083,1364
1264,Fairfax County Virginia,23,All establishments,All establishments,2020,2384,2265823,606178,30826
1273,Fairfax County Virginia,31-33,All establishments,All establishments,2020,349,358216,91057,5874
1280,Fairfax County Virginia,42,All establishments,All establishments,2020,798,2041122,463408,15248
1289,Fairfax County Virginia,44-45,All establishments,All establishments,2020,2577,1715096,428172,52277
1298,Fairfax County Virginia,48-49,All establishments,All establishments,2020,438,483792,112865,10046
1306,Fairfax County Virginia,51,All establishments,All establishments,2020,868,5961188,1690059,38920
1317,Fairfax County Virginia,52,All establishments,All establishments,2020,1685,4667264,1493208,31245
1327,Fairfax County Virginia,53,All establishments,All establishments,2020,1758,980008,273197,11712
1335,Fairfax County Virginia,54,All establishments,All establishments,2020,8861,25659466,6507110,228318
