unnamed_0,geographic_area_name_name,2017_naics_code_naics2017,meaning_of_legal_form_of_organization_code_lfo_label,meaning_of_employment_size_of_establishments_code_empszes_label,year_year,number_of_establishments_estab,annual_payroll_1000_payann,firstquarter_payroll_1000_payqtr1,number_of_employees_emp
2476,Santa Clara County California,23,All establishments,All establishments,2019,3674,4790361,1120671,52400
2486,Santa Clara County California,31-33,All establishments,All establishments,2019,2136,10347631,2810902,85171
2496,Santa Clara County California,42,All establishments,All establishments,2019,2400,15197729,3813560,77096
2506,Santa Clara County California,44-45,All establishments,All establishments,2019,4457,3506650,903053,81928
2515,Santa Clara County California,48-49,All establishments,All establishments,2019,680,752324,189466,13081
2524,Santa Clara County California,51,All establishments,All establishments,2019,1933,39477385,10826325,140919
2534,Santa Clara County California,52,All establishments,All establishments,2019,2390,4737616,1669784,26371
2542,Santa Clara County California,53,All establishments,All establishments,2019,2971,1434864,382913,16283
2550,Santa Clara County California,54,All establishments,All establishments,2019,8902,23379250,5787208,145806
2560,Santa Clara County California,55,All establishments,All establishments,2019,264,21591016,4116274,78683
2570,Santa Clara County California,56,All establishments,All establishments,2019,2238,3211466,785138,63318
2580,Santa Clara County California,61,All establishments,All establishments,2019,1139,4311402,1105919,54340
2588,Santa Clara County California,62,All establishments,All establishments,2019,5926,10415455,2520244,118072
2598,Santa Clara County California,71,All establishments,All establishments,2019,699,825877,156920,19073
2606,Santa Clara County California,72,All establishments,All establishments,2019,5217,2744659,653363,95778
2615,Santa Clara County California,81,All establishments,All establishments,2019,3875,1381374,344689,31472
2623,Santa Clara County California,99,All establishments,All establishments,2019,71,4082,631,90
2626,Santa Clara County California,0,All establishments,All establishments,2020,49013,165113675,40496644,1129499
2640,Santa Clara County California,11,All establishments,All establishments,2020,24,12145,2999,257
2644,Santa Clara County California,21,All establishments,All establishments,2020,11,14384,3911,140
2647,Santa Clara County California,22,All establishments,All establishments,2020,27,314749,80001,2019
2651,Santa Clara County California,23,All establishments,All establishments,2020,3724,4515338,1153510,52288
2661,Santa Clara County California,31-33,All establishments,All establishments,2020,2069,10771607,3008903,86632
2674,Santa Clara County California,42,All establishments,All establishments,2020,2306,15723690,3888476,78661
2686,Santa Clara County California,44-45,All establishments,All establishments,2020,4358,3536751,899679,81366
2695,Santa Clara County California,48-49,All establishments,All establishments,2020,766,787804,210444,14741
2704,Santa Clara County California,51,All establishments,All establishments,2020,1929,45723790,11952156,149287
2717,Santa Clara County California,52,All establishments,All establishments,2020,2374,5002356,1826549,27182
2725,Santa Clara County California,53,All establishments,All establishments,2020,3052,1531357,415658,16429
2733,Santa Clara County California,54,All establishments,All establishments,2020,8977,26353025,6439204,154546
2744,Santa Clara County California,55,All establishments,All establishments,2020,262,28123341,4645433,86091
2757,Santa Clara County California,56,All establishments,All establishments,2020,2272,3705481,891154,59564
2767,Santa Clara County California,61,All establishments,All establishments,2020,1170,4404836,1092829,57339
2775,Santa Clara County California,62,All establishments,All establishments,2020,6075,10579558,2768975,118836
2789,Santa Clara County California,71,All establishments,All establishments,2020,719,717504,185313,19953
2798,Santa Clara County California,72,All establishments,All establishments,2020,5008,1987268,662823,92647
2807,Santa Clara County California,81,All establishments,All establishments,2020,3805,1305694,368098,31436
2815,Santa Clara County California,99,All establishments,All establishments,2020,85,2997,529,85
2818,Santa Clara County California,0,All establishments,All establishments,2021,48749,194044418,45337999,1057178
2832,Santa Clara County California,11,All establishments,All establishments,2021,28,12894,2873,259
2836,Santa Clara County California,21,All establishments,All establishments,2021,10,13724,3247,124
2838,Santa Clara County California,22,All establishments,All establishments,2021,27,355580,86744,2322
2841,Santa Clara County California,23,All establishments,All establishments,2021,3809,4759869,1130084,49575
2851,Santa Clara County California,31-33,All establishments,All establishments,2021,2028,13738625,3822285,88625
2864,Santa Clara County California,42,All establishments,All establishments,2021,2240,15718154,3853449,69869
2876,Santa Clara County California,44-45,All establishments,All establishments,2021,4315,3801684,843532,76672
2885,Santa Clara County California,48-49,All establishments,All establishments,2021,804,815470,187420,14389
2893,Santa Clara County California,51,All establishments,All establishments,2021,1959,54328221,13279429,143850
2906,Santa Clara County California,52,All establishments,All establishments,2021,2394,5933498,2445104,26406
2914,Santa Clara County California,53,All establishments,All establishments,2021,3100,1585530,384646,15188
2922,Santa Clara County California,54,All establishments,All establishments,2021,8891,34511523,8089463,160339
2934,Santa Clara County California,55,All establishments,All establishments,2021,256,33440985,5473984,80305
2944,Santa Clara County California,56,All establishments,All establishments,2021,2249,4501337,962191,57479
2954,Santa Clara County California,61,All establishments,All establishments,2021,1154,4610805,1124517,53186
2964,Santa Clara County California,62,All establishments,All establishments,2021,6098,11597432,2796795,115980
2977,Santa Clara County California,71,All establishments,All establishments,2021,693,742295,101256,9271
2985,Santa Clara County California,72,All establishments,All establishments,2021,4933,2205550,433792,68454
2993,Santa Clara County California,81,All establishments,All establishments,2021,3674,1364427,316435,24782
3000,Santa Clara County California,99,All establishments,All establishments,2021,87,6815,753,103
3003,Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),Annual payroll ($1000) (PAYANN),First-quarter payroll ($1000) (PAYQTR1),Number of employees (EMP)
3004,Wake County North Carolina,0,All establishments,All establishments,2019,30266,29620559,7515502,497013
3014,Wake County North Carolina,11,All establishments,All establishments,2019,26,7397,1541,176
3017,Wake County North Carolina,21,All establishments,All establishments,2019,10,19883,5608,227
3019,Wake County North Carolina,22,All establishments,All establishments,2019,79,341776,126814,3218
3027,Wake County North Carolina,23,All establishments,All establishments,2019,2940,1858296,439646,30631
3035,Wake County North Carolina,31-33,All establishments,All establishments,2019,588,895546,220702,14514
3044,Wake County North Carolina,42,All establishments,All establishments,2019,1380,2802172,662551,28375
3053,Wake County North Carolina,44-45,All establishments,All establishments,2019,3462,1789661,440286,61530
3061,Wake County North Carolina,48-49,All establishments,All establishments,2019,541,485386,120647,10829
3069,Wake County North Carolina,51,All establishments,All establishments,2019,686,3320633,942405,28772
3078,Wake County North Carolina,52,All establishments,All establishments,2019,1800,2757219,850010,27661
3088,Wake County North Carolina,53,All establishments,All establishments,2019,1910,588449,143557,9793
3095,Wake County North Carolina,54,All establishments,All establishments,2019,5016,5972315,1411096,60348
3104,Wake County North Carolina,55,All establishments,All establishments,2019,291,987337,302116,9565
3111,Wake County North Carolina,56,All establishments,All establishments,2019,1956,1727433,404282,40295
3120,Wake County North Carolina,61,All establishments,All establishments,2019,553,419553,102304,11438
3128,Wake County North Carolina,62,All establishments,All establishments,2019,3191,3492369,816226,66300
3138,Wake County North Carolina,71,All establishments,All establishments,2019,507,296856,84363,12730
3146,Wake County North Carolina,72,All establishments,All establishments,2019,2559,1067427,252407,57187
3154,Wake County North Carolina,81,All establishments,All establishments,2019,2733,788857,188409,23364
3162,Wake County North Carolina,99,All establishments,All establishments,2019,38,1994,532,60
3164,Wake County North Carolina,0,All establishments,All establishments,2020,30855,30084000,7892464,507958
3177,Wake County North Carolina,11,All establishments,All establishments,2020,26,8404,1736,192
3180,Wake County North Carolina,21,All establishments,All establishments,2020,12,21375,6011,222
3183,Wake County North Carolina,22,All establishments,All establishments,2020,80,343487,125935,3146
3191,Wake County North Carolina,23,All establishments,All establishments,2020,3006,1971714,489966,32586
3199,Wake County North Carolina,31-33,All establishments,All establishments,2020,591,1010762,253647,15348
3208,Wake County North Carolina,42,All establishments,All establishments,2020,1398,2478868,622227,26916
3216,Wake County North Carolina,44-45,All establishments,All establishments,2020,3447,1848153,450340,61113
3224,Wake County North Carolina,48-49,All establishments,All establishments,2020,581,492429,127398,11799
3232,Wake County North Carolina,51,All establishments,All establishments,2020,728,3437294,931870,29958
3242,Wake County North Carolina,52,All establishments,All establishments,2020,1823,3003027,943327,29147
3252,Wake County North Carolina,53,All establishments,All establishments,2020,2040,605574,151943,10104
3259,Wake County North Carolina,54,All establishments,All establishments,2020,5132,6094306,1546734,63404
3269,Wake County North Carolina,55,All establishments,All establishments,2020,284,983811,299858,10507
3277,Wake County North Carolina,56,All establishments,All establishments,2020,2016,1842838,430766,40046
3286,Wake County North Carolina,61,All establishments,All establishments,2020,556,437921,106924,11852
3294,Wake County North Carolina,62,All establishments,All establishments,2020,3245,3608072,851363,67477
3304,Wake County North Carolina,71,All establishments,All establishments,2020,510,232581,92595,13367
3312,Wake County North Carolina,72,All establishments,All establishments,2020,2554,886735,262625,57348
3320,Wake County North Carolina,81,All establishments,All establishments,2020,2796,775287,196951,23397
3328,Wake County North Carolina,99,All establishments,All establishments,2020,30,1362,248,29
3330,Wake County North Carolina,0,All establishments,All establishments,2021,32026,34259007,8286212,497107
3343,Wake County North Carolina,11,All establishments,All establishments,2021,25,7924,1624,180
3345,Wake County North Carolina,21,All establishments,All establishments,2021,13,23684,6818,215
3349,Wake County North Carolina,22,All establishments,All establishments,2021,82,344094,126550,3110
3357,Wake County North Carolina,23,All establishments,All establishments,2021,3155,2241984,505609,33295
3366,Wake County North Carolina,31-33,All establishments,All establishments,2021,587,1100258,251441,14918
3375,Wake County North Carolina,42,All establishments,All establishments,2021,1419,2776485,685052,26648
3383,Wake County North Carolina,44-45,All establishments,All establishments,2021,3570,2132182,490143,64512
3391,Wake County North Carolina,48-49,All establishments,All establishments,2021,698,524757,119162,11841
3399,Wake County North Carolina,51,All establishments,All establishments,2021,733,4343219,1062708,28468
3409,Wake County North Carolina,52,All establishments,All establishments,2021,1819,3174480,1010221,28905
3419,Wake County North Carolina,53,All establishments,All establishments,2021,2190,657489,149439,9538
3426,Wake County North Carolina,54,All establishments,All establishments,2021,5404,6590859,1507357,62030
3436,Wake County North Carolina,55,All establishments,All establishments,2021,293,1089570,314852,10879
3444,Wake County North Carolina,56,All establishments,All establishments,2021,2090,2068938,463714,40249
3454,Wake County North Carolina,61,All establishments,All establishments,2021,571,463254,108318,11116
3463,Wake County North Carolina,62,All establishments,All establishments,2021,3386,4498842,997617,72728
3473,Wake County North Carolina,71,All establishments,All establishments,2021,537,305736,74113,8287
3480,Wake County North Carolina,72,All establishments,All establishments,2021,2576,1076366,219535,48605
3488,Wake County North Carolina,81,All establishments,All establishments,2021,2854,837927,191643,21546
3496,Wake County North Carolina,99,All establishments,All establishments,2021,24,959,296,37
3498,,,,,,,,,
