fips_code,county_name,year,chaintype_quantity_indexes_for_real_gdp,currentdollar_gdp_thousands_of_current_dollars,description,real_gdp_thousands_of_chained_2017_dollars
51919,"Fairfax, Fairfax City + Falls Church, VA*",2013,94.982,103181347,,108458197
51919,"Fairfax, Fairfax City + Falls Church, VA*",2014,95.048,104445868,,108533102
51919,"Fairfax, Fairfax City + Falls Church, VA*",2015,96.266,107483959,,109923813
51919,"Fairfax, Fairfax City + Falls Church, VA*",2016,97.597,110231851,,111444480
51919,"Fairfax, Fairfax City + Falls Church, VA*",2017,100.0,114188029,,114188029
51919,"Fairfax, Fairfax City + Falls Church, VA*",2018,104.454,120738631,,119273660
51919,"Fairfax, Fairfax City + Falls Church, VA*",2019,110.002,129015685,,125609583
51919,"Fairfax, Fairfax City + Falls Church, VA*",2020,109.771,130155397,,125345421
51919,"Fairfax, Fairfax City + Falls Church, VA*",2021,116.784,141142785,,133352801
51919,"Fairfax, Fairfax City + Falls Church, VA*",2022,120.788,151888956,,137925802
