label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        Median (dollars),834,13,N/A,N/A,830,13,N/A,N/A,536,9,N/A,N/A,507,11,N/A,N/A,610,7,N/A,N/A,885,9,N/A,N/A,789,21,N/A,N/A
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),249067,2642,249067,N/A,176484,2185,176484,N/A,197317,2673,197317,N/A,109574,2369,109574,N/A,284255,3445,284255,N/A,205068,2264,205068,N/A,86485,1118,86485,N/A
        Less than 20.0 percent,95279,1936,38.3,0.7,82229,1956,46.6,0.9,113510,2689,57.5,0.9,52035,1903,47.5,1.4,125146,2797,44.0,0.8,94964,1992,46.3,0.7,41987,1178,48.5,1.4
        20.0 to 24.9 percent,38268,1299,15.4,0.5,28711,1141,16.3,0.6,29655,1339,15.0,0.7,17926,1301,16.4,1.1,43212,1867,15.2,0.6,35180,1184,17.2,0.6,16981,909,19.6,1.0
        25.0 to 29.9 percent,30179,1224,12.1,0.5,17955,947,10.2,0.5,17873,1193,9.1,0.6,11020,842,10.1,0.7,29736,1451,10.5,0.5,22566,948,11.0,0.5,9241,736,10.7,0.8
        30.0 to 34.9 percent,21019,1047,8.4,0.4,12568,982,7.1,0.5,9619,847,4.9,0.4,6950,696,6.3,0.6,20704,1365,7.3,0.5,15546,837,7.6,0.4,6260,604,7.2,0.7
        35.0 percent or more,64322,1742,25.8,0.7,35021,1522,19.8,0.8,26660,1269,13.5,0.6,21643,1170,19.8,1.0,65457,2253,23.0,0.7,36812,1394,18.0,0.6,12016,847,13.9,0.9
        Not computed,877,196,N/A,N/A,657,226,N/A,N/A,485,152,N/A,N/A,611,374,N/A,N/A,1170,315,N/A,N/A,831,318,N/A,N/A,250,113,N/A,N/A
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),107231,1766,107231,N/A,67024,1670,67024,N/A,64092,1996,64092,N/A,46684,1579,46684,N/A,188359,3184,188359,N/A,66894,1825,66894,N/A,16043,831,16043,N/A
        Less than 10.0 percent,54494,1466,50.8,0.9,37059,1448,55.3,1.5,38564,1538,60.2,1.6,23635,1144,50.6,1.8,77082,2171,40.9,0.9,37189,1407,55.6,1.5,9809,619,61.1,2.2
        10.0 to 14.9 percent,17925,871,16.7,0.8,10885,791,16.2,1.1,10867,956,17.0,1.4,8946,740,19.2,1.4,39867,1681,21.2,0.8,11362,735,17.0,1.0,2495,322,15.6,1.8
        15.0 to 19.9 percent,9806,576,9.1,0.5,4874,456,7.3,0.7,5076,518,7.9,0.7,4974,556,10.7,1.1,23031,1213,12.2,0.6,5784,521,8.6,0.8,1293,263,8.1,1.5
        20.0 to 24.9 percent,6007,452,5.6,0.4,3528,450,5.3,0.7,2568,422,4.0,0.7,2536,304,5.4,0.6,12899,983,6.8,0.5,3399,453,5.1,0.7,755,210,4.7,1.3
        25.0 to 29.9 percent,3789,441,3.5,0.4,1899,245,2.8,0.4,1813,369,2.8,0.6,1624,298,3.5,0.6,8240,701,4.4,0.4,2153,326,3.2,0.5,441,164,2.7,1.0
        30.0 to 34.9 percent,2981,345,2.8,0.3,1528,256,2.3,0.4,1389,283,2.2,0.4,1199,248,2.6,0.5,5615,555,3.0,0.3,1440,262,2.2,0.4,351,130,2.2,0.8
        35.0 percent or more,12229,760,11.4,0.7,7251,603,10.8,0.9,3815,419,6.0,0.7,3770,496,8.1,1.0,21625,967,11.5,0.5,5567,661,8.3,0.9,899,186,5.6,1.2
        Not computed,1053,209,N/A,N/A,448,131,N/A,N/A,384,124,N/A,N/A,521,220,N/A,N/A,2591,499,N/A,N/A,635,176,N/A,N/A,241,130,N/A,N/A
GROSS RENT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied units paying rent,270454,2751,270454,N/A,124575,2209,124575,N/A,144759,2747,144759,N/A,127360,2242,127360,N/A,458924,3709,458924,N/A,122109,1903,122109,N/A,28511,1185,28511,N/A
        Less than $500,8694,656,3.2,0.2,4105,583,3.3,0.5,4115,506,2.8,0.3,9891,780,7.8,0.6,14917,1215,3.3,0.3,3188,479,2.6,0.4,385,136,1.4,0.5
        $500 to $999,13681,956,5.1,0.3,5975,740,4.8,0.6,35689,1562,24.7,1.0,32814,1354,25.8,1.0,144207,2905,31.4,0.6,3817,538,3.1,0.4,1542,368,5.4,1.2
        $1000 to $1499,25357,1229,9.4,0.4,25302,1430,20.3,1.1,70960,2253,49.0,1.2,53027,1844,41.6,1.2,191234,2819,41.7,0.6,16114,957,13.2,0.8,4367,566,15.3,2.0
        $1500 to $1999,45205,1417,16.7,0.5,47386,1603,38.0,1.1,25270,1372,17.5,0.9,21702,1227,17.0,0.9,74552,2480,16.2,0.5,47603,1562,39.0,1.1,9630,754,33.8,2.3
        $2000 to $2499,54745,1573,20.2,0.5,23792,1068,19.1,0.9,5774,706,4.0,0.5,6427,782,5.0,0.6,21230,1350,4.6,0.3,28096,1310,23.0,1.0,6647,607,23.3,1.9
        $2500 to $2999,50469,1692,18.7,0.6,9823,819,7.9,0.6,1408,296,1.0,0.2,1798,442,1.4,0.3,7084,821,1.5,0.2,12843,949,10.5,0.8,3289,431,11.5,1.4
        $3000 or more,72303,1834,26.7,0.6,8192,779,6.6,0.6,1543,290,1.1,0.2,1701,485,1.3,0.4,5700,516,1.2,0.1,10448,750,8.6,0.6,2651,542,9.3,1.8
        Median (dollars),2386,15,N/A,N/A,1784,11,N/A,N/A,1204,10,N/A,N/A,1172,12,N/A,N/A,1159,6,N/A,N/A,1898,13,N/A,N/A,1913,30,N/A,N/A
        No rent paid,6632,600,N/A,N/A,3637,664,N/A,N/A,3515,601,N/A,N/A,4441,865,N/A,N/A,10697,1000,N/A,N/A,3116,446,N/A,N/A,1035,317,N/A,N/A
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Occupied units paying rent (excluding units where GRAPI cannot be computed),266993,2800,266993,N/A,123025,2245,123025,N/A,143110,2757,143110,N/A,124898,2321,124898,N/A,447825,4016,447825,N/A,120954,1861,120954,N/A,28036,1150,28036,N/A
        Less than 15.0 percent,41139,1300,15.4,0.5,12523,846,10.2,0.7,20485,1348,14.3,0.9,14539,1166,11.6,0.9,55640,1788,12.4,0.4,14080,973,11.6,0.8,3769,546,13.4,1.8
        15.0 to 19.9 percent,37094,1473,13.9,0.5,16051,1048,13.0,0.8,21745,1436,15.2,0.9,16073,1200,12.9,0.9,65040,2114,14.5,0.4,17655,1031,14.6,0.8,4649,549,16.6,1.9
        20.0 to 24.9 percent,37300,1325,14.0,0.5,18659,1005,15.2,0.8,21045,1459,14.7,1.0,16178,952,13.0,0.8,64492,2168,14.4,0.5,18432,1033,15.2,0.9,4259,504,15.2,1.7
        25.0 to 29.9 percent,30575,1076,11.5,0.4,13847,1033,11.3,0.8,17684,1356,12.4,0.9,16423,1164,13.1,0.9,53429,2219,11.9,0.5,15515,894,12.8,0.7,2956,533,10.5,1.8
        30.0 to 34.9 percent,24412,1162,9.1,0.4,11760,919,9.6,0.7,12821,1127,9.0,0.8,12669,1035,10.1,0.8,41985,1820,9.4,0.4,11031,822,9.1,0.7,2141,338,7.6,1.2
        35.0 percent or more,96473,2286,36.1,0.7,50185,1760,40.8,1.2,49330,1974,34.5,1.3,49016,1814,39.2,1.2,167239,3245,37.3,0.6,44241,1510,36.6,1.0,10262,773,36.6,2.5
        Not computed,10093,774,N/A,N/A,5187,728,N/A,N/A,5164,646,N/A,N/A,6903,984,N/A,N/A,21796,1504,N/A,N/A,4271,506,N/A,N/A,1510,364,N/A,N/A
