label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiapercentestimate,santa_clara_county_californiapercentmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiapercent_maleestimate,santa_clara_county_californiapercent_malemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,santa_clara_county_californiapercent_femaleestimate,santa_clara_county_californiapercent_femalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandpercentestimate,montgomery_county_marylandpercentmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandpercent_maleestimate,montgomery_county_marylandpercent_malemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,montgomery_county_marylandpercent_femaleestimate,montgomery_county_marylandpercent_femalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinapercentestimate,wake_county_north_carolinapercentmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinapercent_maleestimate,wake_county_north_carolinapercent_malemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,wake_county_north_carolinapercent_femaleestimate,wake_county_north_carolinapercent_femalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseepercentestimate,davidson_county_tennesseepercentmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseepercent_maleestimate,davidson_county_tennesseepercent_malemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,davidson_county_tennesseepercent_femaleestimate,davidson_county_tennesseepercent_femalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texaspercentestimate,dallas_county_texaspercentmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texaspercent_maleestimate,dallas_county_texaspercent_malemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,dallas_county_texaspercent_femaleestimate,dallas_county_texaspercent_femalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiapercentestimate,fairfax_county_virginiapercentmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiapercent_maleestimate,fairfax_county_virginiapercent_malemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,fairfax_county_virginiapercent_femaleestimate,fairfax_county_virginiapercent_femalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiapercentestimate,loudoun_county_virginiapercentmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiapercent_maleestimate,loudoun_county_virginiapercent_malemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error,loudoun_county_virginiapercent_femaleestimate,loudoun_county_virginiapercent_femalemargin_of_error
        15 to 44 years,822811,*****,42.8,*****,431613,100,44.3,0.1,391198,100,41.2,0.1,400127,189,38.2,0.1,197649,132,39.0,0.1,202478,127,37.4,0.1,468965,162,43.0,0.1,230630,89,43.4,0.1,238335,116,42.5,0.1,323246,143,46.8,0.1,158061,101,47.5,0.1,165185,136,46.1,0.1,1155110,71,44.0,0.1,579058,53,44.8,0.1,576052,77,43.3,0.1,460651,150,40.1,0.1,232407,61,40.8,0.1,228244,152,39.4,0.1,166433,74,41.1,0.1,82218,64,40.8,0.1,84215,46,41.3,0.1
        16 years and over,1549653,934,80.5,0.1,782685,629,80.3,0.1,766968,696,80.8,0.1,831326,584,79.4,0.1,395942,483,78.2,0.1,435384,524,80.4,0.1,860482,869,78.8,0.1,413970,535,78.0,0.1,446512,636,79.6,0.1,560745,520,81.2,0.1,266943,382,80.3,0.1,293802,428,82.1,0.1,2011053,1284,76.7,0.1,981578,819,75.9,0.1,1029475,862,77.4,0.1,908390,927,79.0,0.1,446854,579,78.4,0.1,461536,686,79.7,0.1,304587,468,75.1,0.1,150010,363,74.5,0.2,154577,343,75.8,0.2
        18 years and over,1502391,*****,78.1,*****,758018,*****,77.8,0.1,744373,*****,78.4,0.1,804172,*****,76.8,*****,381979,100,75.4,0.1,422193,99,78.0,0.1,830760,108,76.1,0.1,398324,110,75.0,0.1,432436,71,77.1,0.1,546693,*****,79.2,*****,259769,50,78.1,0.1,286924,52,80.1,0.1,1936816,*****,73.9,*****,943807,66,73.0,0.1,993009,66,74.7,0.1,879212,*****,76.5,*****,431716,26,75.7,0.1,447496,24,77.3,0.1,291222,25,71.9,0.1,143279,45,71.2,0.1,147943,39,72.5,0.1
        21 years and over,1436965,936,74.7,0.1,723804,837,74.3,0.1,713161,725,75.1,0.1,771039,841,73.6,0.1,364511,569,72.0,0.1,406528,614,75.1,0.1,785940,1124,72.0,0.1,375391,841,70.7,0.2,410549,792,73.2,0.1,520379,700,75.4,0.1,247289,419,74.4,0.1,273090,611,76.3,0.2,1835515,1495,70.0,0.1,891773,1022,69.0,0.1,943742,981,71.0,0.1,840294,922,73.1,0.1,412547,554,72.3,0.1,427747,702,73.9,0.1,278284,437,68.7,0.1,136596,406,67.9,0.2,141688,305,69.4,0.2
        60 years and over,364232,1699,18.9,0.1,168604,1166,17.3,0.1,195628,1234,20.6,0.1,226452,1571,21.6,0.1,100698,990,19.9,0.2,125754,1041,23.2,0.2,183830,1671,16.8,0.2,81836,1078,15.4,0.2,101994,1051,18.2,0.2,120691,1089,17.5,0.2,53254,759,16.0,0.2,67437,811,18.8,0.2,413153,2460,15.8,0.1,184257,1754,14.2,0.1,228896,1790,17.2,0.1,223100,1362,19.4,0.1,104700,942,18.4,0.2,118400,933,20.4,0.2,55626,735,13.7,0.2,25631,498,12.7,0.2,29995,496,14.7,0.2
        62 years and over,318337,1314,16.5,0.1,145199,881,14.9,0.1,173138,952,18.2,0.1,200249,1295,19.1,0.1,88198,875,17.4,0.2,112051,895,20.7,0.2,159476,1251,14.6,0.1,70014,769,13.2,0.1,89462,982,16.0,0.2,104823,1093,15.2,0.2,45773,703,13.8,0.2,59050,758,16.5,0.2,355387,2250,13.6,0.1,155996,1604,12.1,0.1,199391,1734,15.0,0.1,193139,1162,16.8,0.1,89687,848,15.7,0.1,103452,748,17.9,0.1,47477,636,11.7,0.2,21672,402,10.8,0.2,25805,472,12.6,0.2
        65 years and over,259988,*****,13.5,*****,115902,*****,11.9,0.1,144086,*****,15.2,0.1,162414,26,15.5,0.1,70384,10,13.9,0.1,92030,21,17.0,0.1,127133,50,11.6,0.1,54965,27,10.4,0.1,72168,39,12.9,0.1,84748,20,12.3,0.1,35790,4,10.8,0.1,48958,19,13.7,0.1,281461,56,10.7,0.1,121243,30,9.4,0.1,160218,54,12.1,0.1,155332,32,13.5,0.1,71140,32,12.5,0.1,84192,16,14.5,0.1,38019,16,9.4,0.1,16998,2,8.4,0.1,21021,16,10.3,0.1
        75 years and over,115249,67,6.0,0.1,48611,67,5.0,0.1,66638,*****,7.0,0.1,70258,69,6.7,0.1,28152,43,5.6,0.1,42106,61,7.8,0.1,48045,78,4.4,0.1,19309,23,3.6,0.1,28736,75,5.1,0.1,33015,51,4.8,0.1,12479,43,3.8,0.1,20536,35,5.7,0.1,109010,42,4.2,0.1,43031,24,3.3,0.1,65979,41,5.0,0.1,61145,50,5.3,0.1,26497,51,4.6,0.1,34648,5,6.0,0.1,15268,38,3.8,0.1,6384,22,3.2,0.1,8884,27,4.4,0.1
    SUMMARY INDICATORS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
        Median age (years),37.2,0.2,N/A,N/A,36.1,0.1,N/A,N/A,38.4,0.2,N/A,N/A,39.4,0.2,N/A,N/A,38.1,0.2,N/A,N/A,40.7,0.2,N/A,N/A,36.4,0.1,N/A,N/A,35.5,0.1,N/A,N/A,37.4,0.2,N/A,N/A,34.4,0.1,N/A,N/A,33.9,0.1,N/A,N/A,35.0,0.2,N/A,N/A,33.5,0.1,N/A,N/A,32.7,0.1,N/A,N/A,34.4,0.1,N/A,N/A,38.1,0.1,N/A,N/A,37.2,0.2,N/A,N/A,39.1,0.2,N/A,N/A,36.5,0.2,N/A,N/A,36.2,0.2,N/A,N/A,36.8,0.2,N/A,N/A
