label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        Median (dollars),1443100,31167,N/A,N/A,636200,10274,N/A,N/A,482100,7288,N/A,N/A,437700,10844,N/A,N/A,319100,4928,N/A,N/A,727200,10270,N/A,N/A,734700,16731,N/A,N/A
MORTGAGE STATUS,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Owner-occupied units,360190,5723,360190,N/A,252963,4412,252963,N/A,307341,5811,307341,N/A,180349,6145,180349,N/A,499830,7833,499830,N/A,280307,4684,280307,N/A,113560,2790,113560,N/A
        Housing units with a mortgage,235931,5927,65.5,1.2,180196,4390,71.2,1.2,225926,6785,73.5,1.3,126900,6346,70.4,1.9,285924,8959,57.2,1.3,195790,5040,69.8,1.3,89200,3145,78.5,1.8
        Housing units without a mortgage,124259,4395,34.5,1.2,72767,3394,28.8,1.2,81415,3921,26.5,1.3,53449,3190,29.6,1.9,213906,6519,42.8,1.3,84517,3908,30.2,1.3,24360,2100,21.5,1.8
SELECTED MONTHLY OWNER COSTS (SMOC),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
    Housing units with a mortgage,235931,5927,235931,N/A,180196,4390,180196,N/A,225926,6785,225926,N/A,126900,6346,126900,N/A,285924,8959,285924,N/A,195790,5040,195790,N/A,89200,3145,89200,N/A
        Less than $500,915,440,0.4,0.2,749,371,0.4,0.2,1127,724,0.5,0.3,718,626,0.6,0.5,564,329,0.2,0.1,939,344,0.5,0.2,332,254,0.4,0.3
        $500 to $999,2822,1012,1.2,0.4,2860,1024,1.6,0.6,14633,2468,6.5,1.1,9048,2062,7.1,1.6,12278,2032,4.3,0.7,2121,712,1.1,0.4,843,534,0.9,0.6
        $1000 to $1499,5905,1037,2.5,0.4,12238,1862,6.8,1.0,40226,3295,17.8,1.3,31310,4223,24.7,2.8,44164,3723,15.4,1.2,7236,1297,3.7,0.7,3547,932,4.0,1.0
        $1500 to $1999,10357,1209,4.4,0.5,23298,2457,12.9,1.3,53705,4050,23.8,1.7,29098,3362,22.9,2.4,66499,4795,23.3,1.6,16530,1782,8.4,0.9,6659,1292,7.5,1.4
        $2000 to $2499,16394,2221,6.9,0.9,32947,2801,18.3,1.5,45800,3866,20.3,1.6,21253,2956,16.7,2.0,54812,4009,19.2,1.4,30182,2532,15.4,1.2,15125,1932,17.0,2.1
        $2500 to $2999,21728,2557,9.2,1.0,29577,3071,16.4,1.6,28557,3508,12.6,1.4,13790,1958,10.9,1.6,31358,3310,11.0,1.1,33950,2638,17.3,1.3,15176,2090,17.0,2.3
        $3000 or more,177810,5524,75.4,1.2,78527,3676,43.6,1.8,41878,3756,18.5,1.6,21683,2499,17.1,1.9,76249,5178,26.7,1.5,104832,4601,53.5,1.7,47518,3052,53.3,2.9
        Median (dollars),4000+,***,N/A,N/A,2804,51,N/A,N/A,2036,48,N/A,N/A,1882,62,N/A,N/A,2177,43,N/A,N/A,3123,57,N/A,N/A,3103,87,N/A,N/A
    Housing units without a mortgage,124259,4395,124259,N/A,72767,3394,72767,N/A,81415,3921,81415,N/A,53449,3190,53449,N/A,213906,6519,213906,N/A,84517,3908,84517,N/A,24360,2100,24360,N/A
        Less than $250,2032,666,1.6,0.5,917,401,1.3,0.6,2666,926,3.3,1.1,1473,551,2.8,1.0,7201,1384,3.4,0.6,1726,910,2.0,1.1,187,183,0.8,0.7
        $250 to $399,4449,1070,3.6,0.9,2045,726,2.8,1.0,9658,1659,11.9,2.1,7298,1090,13.7,1.9,19464,2393,9.1,1.1,1370,498,1.6,0.6,689,456,2.8,1.8
        $400 to $599,10495,1624,8.4,1.2,8036,1439,11.0,1.9,26856,2773,33.0,3.0,18726,2238,35.0,3.4,39204,3552,18.3,1.6,6071,1490,7.2,1.7,1725,586,7.1,2.5
        $600 to $799,16373,2191,13.2,1.7,15240,1960,20.9,2.4,20669,2529,25.4,2.6,11434,1697,21.4,2.8,42283,3549,19.8,1.5,13489,1968,16.0,2.2,5743,1292,23.6,4.8
        $800 to $999,20100,2246,16.2,1.6,14320,1911,19.7,2.4,9731,1663,12.0,2.0,6162,1394,11.5,2.6,36127,3048,16.9,1.3,15640,1915,18.5,2.0,6663,1350,27.4,5.0
        $1000 or more,70810,3708,57.0,2.2,32209,2472,44.3,2.9,11835,1580,14.5,1.9,8356,1318,15.6,2.4,69627,4259,32.6,1.7,46221,2745,54.7,2.6,9353,1327,38.4,4.4
        Median (dollars),1143,40,N/A,N/A,940,29,N/A,N/A,614,21,N/A,N/A,591,20,N/A,N/A,795,18,N/A,N/A,1044,23,N/A,N/A,929,29,N/A,N/A
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
