Geographic Area Name (NAME),2017 NAICS code (NAICS2017),Meaning of NAICS code (NAICS2017_LABEL),Meaning of Legal form of organization code (LFO_LABEL),Meaning of Employment size of establishments code (EMPSZES_LABEL),Year (YEAR),Number of establishments (ESTAB),"Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)",Number of employees (EMP),Meaning of NAICS Code (NAICS2017_LABEL)
Davidson County Tennessee,0,Total for all sectors,All establishments,All establishments,2019,20293,27419532,6797708,464535,
Davidson County Tennessee,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2019,7,691,139,15,
Davidson County Tennessee,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2019,8,10733,2586,154,
Davidson County Tennessee,22,Utilities,All establishments,All establishments,2019,11,22001,6866,258,
Davidson County Tennessee,23,Construction,All establishments,All establishments,2019,1256,1511627,333967,23485,
Davidson County Tennessee,31-33,Manufacturing,All establishments,All establishments,2019,572,1078101,263819,20510,
Davidson County Tennessee,42,Wholesale trade,All establishments,All establishments,2019,1074,1652709,426574,23345,
Davidson County Tennessee,44-45,Retail trade,All establishments,All establishments,2019,2592,1135802,267622,36389,
Davidson County Tennessee,48-49,Transportation and warehousing,All establishments,All establishments,2019,539,1231556,302142,26302,
Davidson County Tennessee,51,Information,All establishments,All establishments,2019,686,1073738,288885,13419,
Davidson County Tennessee,52,Finance and insurance,All establishments,All establishments,2019,1292,2533349,787577,26143,
Davidson County Tennessee,53,Real estate and rental and leasing,All establishments,All establishments,2019,1177,534187,125502,8480,
Davidson County Tennessee,54,Professional scientific and technical services,All establishments,All establishments,2019,2165,2549944,575169,27850,
Davidson County Tennessee,55,Management of companies and enterprises,All establishments,All establishments,2019,251,2798286,717311,23958,
Davidson County Tennessee,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2019,1160,1603674,432352,37444,
Davidson County Tennessee,61,Educational services,All establishments,All establishments,2019,284,1179010,283965,26248,
Davidson County Tennessee,62,Health care and social assistance,All establishments,All establishments,2019,2068,5241587,1237227,78757,
Davidson County Tennessee,71,Arts entertainment and recreation,All establishments,All establishments,2019,928,1069689,238292,12536,
Davidson County Tennessee,72,Accommodation and food services,All establishments,All establishments,2019,2216,1434239,325494,58277,
Davidson County Tennessee,81,Other services (except public administration),All establishments,All establishments,2019,1985,756798,181674,20926,
Davidson County Tennessee,99,Industries not classified,All establishments,All establishments,2019,22,1811,545,39,
Davidson County Tennessee,0,Total for all sectors,All establishments,All establishments,2020,20512,26899504,7042439,470435,
Davidson County Tennessee,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2020,6,766,205,19,
Davidson County Tennessee,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2020,9,11971,2865,163,
Davidson County Tennessee,22,Utilities,All establishments,All establishments,2020,11,21576,6738,251,
Davidson County Tennessee,23,Construction,All establishments,All establishments,2020,1303,1549610,351081,24366,
Davidson County Tennessee,31-33,Manufacturing,All establishments,All establishments,2020,559,1080540,268838,20296,
Davidson County Tennessee,42,Wholesale trade,All establishments,All establishments,2020,1061,1628830,421341,22583,
Davidson County Tennessee,44-45,Retail trade,All establishments,All establishments,2020,2583,1174975,283274,37368,
Davidson County Tennessee,48-49,Transportation and warehousing,All establishments,All establishments,2020,555,1238341,315172,28302,
Davidson County Tennessee,51,Information,All establishments,All establishments,2020,686,1179785,327221,14175,
Davidson County Tennessee,52,Finance and insurance,All establishments,All establishments,2020,1283,2579826,760020,24901,
Davidson County Tennessee,53,Real estate and rental and leasing,All establishments,All establishments,2020,1181,549769,141538,8829,
Davidson County Tennessee,54,Professional scientific and technical services,All establishments,All establishments,2020,2209,2511436,603385,27606,
Davidson County Tennessee,55,Management of companies and enterprises,All establishments,All establishments,2020,241,2321152,658036,23339,
Davidson County Tennessee,56,Administrative and support and waste management and remediation services,All establishments,All establishments,2020,1171,1533949,448506,38124,
Davidson County Tennessee,61,Educational services,All establishments,All establishments,2020,303,1197282,301391,24976,
Davidson County Tennessee,62,Health care and social assistance,All establishments,All establishments,2020,2149,5678824,1335086,83212,
Davidson County Tennessee,71,Arts entertainment and recreation,All establishments,All establishments,2020,939,843901,282381,12305,
Davidson County Tennessee,72,Accommodation and food services,All establishments,All establishments,2020,2264,1069237,348515,58884,
Davidson County Tennessee,81,Other services (except public administration),All establishments,All establishments,2020,1966,722859,185799,20656,
Davidson County Tennessee,99,Industries not classified,All establishments,All establishments,2020,33,4875,1047,80,
Davidson County Tennessee,0,,All establishments,All establishments,2021,21052,29959118,7012604,445200,Total for all sectors
Davidson County Tennessee,11,,All establishments,All establishments,2021,6,915,170,14,Agriculture forestry fishing and hunting
Davidson County Tennessee,21,,All establishments,All establishments,2021,6,7976,1689,100,Mining quarrying and oil and gas extraction
Davidson County Tennessee,22,,All establishments,All establishments,2021,13,22048,6489,259,Utilities
Davidson County Tennessee,23,,All establishments,All establishments,2021,1370,1661570,354741,24427,Construction
Davidson County Tennessee,31-33,,All establishments,All establishments,2021,549,1191256,275936,20704,Manufacturing
Davidson County Tennessee,42,,All establishments,All establishments,2021,1050,1638240,411259,20470,Wholesale trade
Davidson County Tennessee,44-45,,All establishments,All establishments,2021,2610,1371506,303487,38673,Retail trade
Davidson County Tennessee,48-49,,All establishments,All establishments,2021,624,1348843,300806,27135,Transportation and warehousing
Davidson County Tennessee,51,,All establishments,All establishments,2021,699,1091791,265236,11255,Information
Davidson County Tennessee,52,,All establishments,All establishments,2021,1299,2975172,774550,25384,Finance and insurance
Davidson County Tennessee,53,,All establishments,All establishments,2021,1236,583269,135457,8455,Real estate and rental and leasing
Davidson County Tennessee,54,,All establishments,All establishments,2021,2255,2660924,607030,27105,Professional scientific and technical services
Davidson County Tennessee,55,,All establishments,All establishments,2021,245,2866573,770014,22905,Management of companies and enterprises
Davidson County Tennessee,56,,All establishments,All establishments,2021,1203,1697839,400889,33820,Administrative and support and waste management and remediation services
Davidson County Tennessee,61,,All establishments,All establishments,2021,303,1266639,299275,23372,Educational services
Davidson County Tennessee,62,,All establishments,All establishments,2021,2276,6444759,1454286,89233,Health care and social assistance
Davidson County Tennessee,71,,All establishments,All establishments,2021,974,1035429,226231,9450,Arts entertainment and recreation
Davidson County Tennessee,72,,All establishments,All establishments,2021,2349,1325947,250005,44563,Accommodation and food services
Davidson County Tennessee,81,,All establishments,All establishments,2021,1962,765694,174563,17842,Other services (except public administration)
Davidson County Tennessee,99,,All establishments,All establishments,2021,23,2728,491,34,Industries not classified
Fairfax County Virginia,0,Total for all sectors,All establishments,All establishments,2019,31619,55389346,14447518,656234,
Fairfax County Virginia,11,Agriculture forestry fishing and hunting,All establishments,All establishments,2019,6,15793,3324,163,
Fairfax County Virginia,21,Mining quarrying and oil and gas extraction,All establishments,All establishments,2019,5,8696,2468,81,
Fairfax County Virginia,22,Utilities,All establishments,All establishments,2019,16,160002,46689,1375,
Fairfax County Virginia,23,Construction,All establishments,All establishments,2019,2390,2253160,535909,28896,
Fairfax County Virginia,31-33,Manufacturing,All establishments,All establishments,2019,341,356684,84535,5804,
