label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        $2500 to $2999,32585,1135,0.13,0.4,29531,1340,0.16699999999999998,0.7,19814,1132,0.1,0.6,6875,754,0.062,0.7,20074,1105,0.07,0.4,38794,1510,0.188,0.7,16974,1028,0.196,1.1
        $3000 or more,159328,2222,0.637,0.6,64225,1424,0.363,0.7,17826,957,0.09,0.5,8602,632,0.078,0.6,41443,1287,0.145,0.4,84374,1977,0.41,0.8,38395,1142,0.44299999999999995,1.1
        Median (dollars),3548,27,0.132,N/A,2588,23,0.128,N/A,1704,21,0.13,N/A,1478,18,0.1275,N/A,1654,12,0.145,N/A,2761,18,0.1305,N/A,2854,29,0.11549999999999999,N/A
    Housing units without a mortgage,108284,1791,1082.84,N/A,67472,1647,674.72,N/A,64476,1993,644.76,N/A,47205,1609,472.05,N/A,190950,3179,1909.5,N/A,67529,1812,675.29,N/A,16284,853,162.84,N/A
        Less than $250,4860,465,0.045,0.4,1776,364,0.026000000000000002,0.5,4264,642,0.066,0.9,2752,489,0.057999999999999996,1.0,12149,891,0.064,0.5,1521,251,0.023,0.4,708,189,0.043,1.2
        $250 to $399,8072,635,0.075,0.6,3111,378,0.046,0.5,12528,1019,0.19399999999999998,1.4,10947,745,0.23199999999999998,1.4,30121,1457,0.158,0.7,2278,382,0.034,0.5,970,303,0.06,1.7
        $400 to $599,18207,823,0.168,0.7,11490,785,0.17,1.1,22492,1219,0.349,1.6,16169,961,0.34299999999999997,1.6,50987,1639,0.267,0.8,6802,768,0.10099999999999999,1.1,2792,404,0.171,2.1
        $600 to $799,20308,940,0.188,0.9,15333,899,0.22699999999999998,1.3,15366,1134,0.23800000000000002,1.5,9016,775,0.191,1.5,39074,1553,0.205,0.7,15935,900,0.23600000000000002,1.2,3981,385,0.244,2.1
        $800 to $999,15342,761,0.142,0.7,13284,868,0.19699999999999998,1.1,5104,526,0.079,0.8,3905,484,0.083,1.0,22204,1181,0.11599999999999999,0.6,16570,770,0.245,1.0,3907,369,0.24,2.1
        $1000 or more,41495,1377,0.38299999999999995,1.0,22478,883,0.33299999999999996,1.2,4722,541,0.073,0.8,4416,395,0.094,0.8,36415,1529,0.191,0.7,24423,1022,0.36200000000000004,1.2,3926,365,0.24100000000000002,2.1
        Median (dollars),834,13,0.132,N/A,830,13,0.128,N/A,536,9,0.13,N/A,507,11,0.1275,N/A,610,7,0.145,N/A,885,9,0.1305,N/A,789,21,0.11549999999999999,N/A
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Housing units with a mortgage (excluding units where SMOCAPI cannot be computed),249067,2642,2490.67,N/A,176484,2185,1764.84,N/A,197317,2673,1973.17,N/A,109574,2369,1095.74,N/A,284255,3445,2842.55,N/A,205068,2264,2050.68,N/A,86485,1118,864.85,N/A
        Less than 20.0 percent,95279,1936,0.38299999999999995,0.7,82229,1956,0.466,0.9,113510,2689,0.575,0.9,52035,1903,0.475,1.4,125146,2797,0.44,0.8,94964,1992,0.46299999999999997,0.7,41987,1178,0.485,1.4
        20.0 to 24.9 percent,38268,1299,0.154,0.5,28711,1141,0.163,0.6,29655,1339,0.15,0.7,17926,1301,0.16399999999999998,1.1,43212,1867,0.152,0.6,35180,1184,0.172,0.6,16981,909,0.196,1.0
        25.0 to 29.9 percent,30179,1224,0.121,0.5,17955,947,0.102,0.5,17873,1193,0.091,0.6,11020,842,0.10099999999999999,0.7,29736,1451,0.105,0.5,22566,948,0.11,0.5,9241,736,0.107,0.8
        30.0 to 34.9 percent,21019,1047,0.084,0.4,12568,982,0.071,0.5,9619,847,0.049,0.4,6950,696,0.063,0.6,20704,1365,0.073,0.5,15546,837,0.076,0.4,6260,604,0.07200000000000001,0.7
        35.0 percent or more,64322,1742,0.258,0.7,35021,1522,0.198,0.8,26660,1269,0.135,0.6,21643,1170,0.198,1.0,65457,2253,0.23,0.7,36812,1394,0.18,0.6,12016,847,0.139,0.9
        Not computed,877,196,0.132,N/A,657,226,0.128,N/A,485,152,0.13,N/A,611,374,0.1275,N/A,1170,315,0.145,N/A,831,318,0.1305,N/A,250,113,0.11549999999999999,N/A
    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),107231,1766,1072.31,N/A,67024,1670,670.24,N/A,64092,1996,640.92,N/A,46684,1579,466.84,N/A,188359,3184,1883.59,N/A,66894,1825,668.94,N/A,16043,831,160.43,N/A
        Less than 10.0 percent,54494,1466,0.508,0.9,37059,1448,0.5529999999999999,1.5,38564,1538,0.602,1.6,23635,1144,0.506,1.8,77082,2171,0.409,0.9,37189,1407,0.556,1.5,9809,619,0.611,2.2
        10.0 to 14.9 percent,17925,871,0.16699999999999998,0.8,10885,791,0.162,1.1,10867,956,0.17,1.4,8946,740,0.192,1.4,39867,1681,0.212,0.8,11362,735,0.17,1.0,2495,322,0.156,1.8
        15.0 to 19.9 percent,9806,576,0.091,0.5,4874,456,0.073,0.7,5076,518,0.079,0.7,4974,556,0.107,1.1,23031,1213,0.122,0.6,5784,521,0.086,0.8,1293,263,0.081,1.5
        20.0 to 24.9 percent,6007,452,0.055999999999999994,0.4,3528,450,0.053,0.7,2568,422,0.04,0.7,2536,304,0.054000000000000006,0.6,12899,983,0.068,0.5,3399,453,0.051,0.7,755,210,0.047,1.3
        25.0 to 29.9 percent,3789,441,0.035,0.4,1899,245,0.027999999999999997,0.4,1813,369,0.027999999999999997,0.6,1624,298,0.035,0.6,8240,701,0.044000000000000004,0.4,2153,326,0.032,0.5,441,164,0.027000000000000003,1.0
        30.0 to 34.9 percent,2981,345,0.027999999999999997,0.3,1528,256,0.023,0.4,1389,283,0.022000000000000002,0.4,1199,248,0.026000000000000002,0.5,5615,555,0.03,0.3,1440,262,0.022000000000000002,0.4,351,130,0.022000000000000002,0.8
        35.0 percent or more,12229,760,0.114,0.7,7251,603,0.10800000000000001,0.9,3815,419,0.06,0.7,3770,496,0.081,1.0,21625,967,0.115,0.5,5567,661,0.083,0.9,899,186,0.055999999999999994,1.2
        Not computed,1053,209,0.132,N/A,448,131,0.128,N/A,384,124,0.13,N/A,521,220,0.1275,N/A,2591,499,0.145,N/A,635,176,0.1305,N/A,241,130,0.11549999999999999,N/A
GROSS RENT,N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Occupied units paying rent,270454,2751,2704.54,N/A,124575,2209,1245.75,N/A,144759,2747,1447.59,N/A,127360,2242,1273.6,N/A,458924,3709,4589.24,N/A,122109,1903,1221.09,N/A,28511,1185,285.11,N/A
        Less than $500,8694,656,0.032,0.2,4105,583,0.033,0.5,4115,506,0.027999999999999997,0.3,9891,780,0.078,0.6,14917,1215,0.033,0.3,3188,479,0.026000000000000002,0.4,385,136,0.013999999999999999,0.5
        $500 to $999,13681,956,0.051,0.3,5975,740,0.048,0.6,35689,1562,0.247,1.0,32814,1354,0.258,1.0,144207,2905,0.314,0.6,3817,538,0.031,0.4,1542,368,0.054000000000000006,1.2
        $1000 to $1499,25357,1229,0.094,0.4,25302,1430,0.203,1.1,70960,2253,0.49,1.2,53027,1844,0.41600000000000004,1.2,191234,2819,0.41700000000000004,0.6,16114,957,0.132,0.8,4367,566,0.153,2.0
        $1500 to $1999,45205,1417,0.16699999999999998,0.5,47386,1603,0.38,1.1,25270,1372,0.175,0.9,21702,1227,0.17,0.9,74552,2480,0.162,0.5,47603,1562,0.39,1.1,9630,754,0.33799999999999997,2.3
        $2000 to $2499,54745,1573,0.20199999999999999,0.5,23792,1068,0.191,0.9,5774,706,0.04,0.5,6427,782,0.05,0.6,21230,1350,0.046,0.3,28096,1310,0.23,1.0,6647,607,0.233,1.9
        $2500 to $2999,50469,1692,0.187,0.6,9823,819,0.079,0.6,1408,296,0.01,0.2,1798,442,0.013999999999999999,0.3,7084,821,0.015,0.2,12843,949,0.105,0.8,3289,431,0.115,1.4
        $3000 or more,72303,1834,0.267,0.6,8192,779,0.066,0.6,1543,290,0.011000000000000001,0.2,1701,485,0.013000000000000001,0.4,5700,516,0.012,0.1,10448,750,0.086,0.6,2651,542,0.09300000000000001,1.8
        Median (dollars),2386,15,0.132,N/A,1784,11,0.128,N/A,1204,10,0.13,N/A,1172,12,0.1275,N/A,1159,6,0.145,N/A,1898,13,0.1305,N/A,1913,30,0.11549999999999999,N/A
        No rent paid,6632,600,0.132,N/A,3637,664,0.128,N/A,3515,601,0.13,N/A,4441,865,0.1275,N/A,10697,1000,0.145,N/A,3116,446,0.1305,N/A,1035,317,0.11549999999999999,N/A
GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI),N/A,N/A,0.132,N/A,N/A,N/A,0.128,N/A,N/A,N/A,0.13,N/A,N/A,N/A,0.1275,N/A,N/A,N/A,0.145,N/A,N/A,N/A,0.1305,N/A,N/A,N/A,0.11549999999999999,N/A
    Occupied units paying rent (excluding units where GRAPI cannot be computed),266993,2800,2669.93,N/A,123025,2245,1230.25,N/A,143110,2757,1431.1,N/A,124898,2321,1248.98,N/A,447825,4016,4478.25,N/A,120954,1861,1209.54,N/A,28036,1150,280.36,N/A
        Less than 15.0 percent,41139,1300,0.154,0.5,12523,846,0.102,0.7,20485,1348,0.14300000000000002,0.9,14539,1166,0.11599999999999999,0.9,55640,1788,0.124,0.4,14080,973,0.11599999999999999,0.8,3769,546,0.134,1.8
        15.0 to 19.9 percent,37094,1473,0.139,0.5,16051,1048,0.13,0.8,21745,1436,0.152,0.9,16073,1200,0.129,0.9,65040,2114,0.145,0.4,17655,1031,0.146,0.8,4649,549,0.166,1.9
        20.0 to 24.9 percent,37300,1325,0.14,0.5,18659,1005,0.152,0.8,21045,1459,0.147,1.0,16178,952,0.13,0.8,64492,2168,0.14400000000000002,0.5,18432,1033,0.152,0.9,4259,504,0.152,1.7
        25.0 to 29.9 percent,30575,1076,0.115,0.4,13847,1033,0.113,0.8,17684,1356,0.124,0.9,16423,1164,0.131,0.9,53429,2219,0.11900000000000001,0.5,15515,894,0.128,0.7,2956,533,0.105,1.8
        30.0 to 34.9 percent,24412,1162,0.091,0.4,11760,919,0.096,0.7,12821,1127,0.09,0.8,12669,1035,0.10099999999999999,0.8,41985,1820,0.094,0.4,11031,822,0.091,0.7,2141,338,0.076,1.2
        35.0 percent or more,96473,2286,0.361,0.7,50185,1760,0.408,1.2,49330,1974,0.345,1.3,49016,1814,0.392,1.2,167239,3245,0.373,0.6,44241,1510,0.366,1.0,10262,773,0.366,2.5
        Not computed,10093,774,0.132,N/A,5187,728,0.128,N/A,5164,646,0.13,N/A,6903,984,0.1275,N/A,21796,1504,0.145,N/A,4271,506,0.1305,N/A,1510,364,0.11549999999999999,N/A
