label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiamargin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandmargin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinamargin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseemargin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasmargin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiamargin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiamargin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
        3 rooms,91950,5037,0.131,0.7,42580,4355,0.105,1.1,49717,4322,0.09699999999999999,0.8,46703,4488,0.125,1.2,156552,8372,0.145,0.8,43363,3661,0.10099999999999999,0.9,8791,1633,0.059000000000000004,1.1
        4 rooms,128236,5300,0.182,0.8,51812,3348,0.127,0.8,62815,4731,0.12300000000000001,0.9,72607,5348,0.195,1.4,187118,8683,0.17300000000000001,0.8,62033,4574,0.14400000000000002,1.1,13337,1851,0.08900000000000001,1.2
        5 rooms,106587,4786,0.151,0.7,45696,4162,0.11199999999999999,1.0,81839,5151,0.16,1.0,59323,4766,0.159,1.3,180699,6987,0.16699999999999998,0.6,41070,2839,0.095,0.7,14263,2351,0.096,1.6
        6 rooms,110070,4849,0.156,0.7,46833,3815,0.115,0.9,77326,5194,0.151,1.0,59548,4968,0.16,1.3,169903,8050,0.157,0.7,51562,3685,0.12,0.9,19760,2280,0.132,1.5
        7 rooms,73249,4358,0.10400000000000001,0.6,41635,4110,0.102,1.0,54438,4320,0.106,0.8,32473,3138,0.087,0.8,97268,5819,0.09,0.5,43227,3503,0.1,0.8,17902,2246,0.12,1.5
        8 rooms,60038,3892,0.085,0.6,46893,3301,0.115,0.8,49941,4028,0.09699999999999999,0.8,28037,3280,0.075,0.9,69991,4082,0.065,0.4,45873,3380,0.106,0.8,18304,2444,0.12300000000000001,1.6
        9 rooms or more,48221,3306,0.069,0.5,100275,4451,0.247,1.1,106875,4192,0.209,0.8,34417,3493,0.092,0.9,94273,5524,0.087,0.5,119449,4386,0.27699999999999997,1.0,52835,2651,0.354,1.8
        Median rooms,4.9,0.1,0.127,N/A,6.2,0.1,0.129,N/A,5.9,0.1,0.129,N/A,5.0,0.2,0.1345,N/A,4.9,0.1,0.1385,N/A,6.4,0.2,0.14100000000000001,N/A,7.3,0.2,0.129,N/A
BEDROOMS,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Total housing units,703922,254,7039.22,N/A,406718,158,4067.18,N/A,512256,323,5122.56,N/A,372293,401,3722.93,N/A,1079042,1242,10790.42,N/A,431006,633,4310.06,N/A,149238,74,1492.38,N/A
        No bedroom,42629,4183,0.061,0.6,13501,2199,0.033,0.5,10971,2256,0.021,0.4,15328,2693,0.040999999999999995,0.7,48210,4407,0.045,0.4,9724,2049,0.023,0.5,2157,898,0.013999999999999999,0.6
        1 bedroom,97699,5126,0.139,0.7,53093,4037,0.131,1.0,47704,4152,0.09300000000000001,0.8,61722,5213,0.166,1.4,225781,8501,0.209,0.8,48175,4190,0.11199999999999999,1.0,8393,1784,0.055999999999999994,1.2
        2 bedrooms,172805,6073,0.245,0.9,82558,4718,0.203,1.2,102185,5747,0.19899999999999998,1.1,104189,6885,0.28,1.8,263140,8951,0.244,0.8,88520,5415,0.205,1.3,20264,2381,0.136,1.6
        3 bedrooms,204696,5513,0.29100000000000004,0.8,106660,4437,0.262,1.1,192654,6386,0.376,1.3,128765,6260,0.34600000000000003,1.7,342787,10788,0.318,1.0,113610,4890,0.264,1.1,42317,3011,0.284,2.0
        4 bedrooms,147029,4671,0.209,0.7,97252,3982,0.239,1.0,114301,5301,0.223,1.0,51726,4327,0.139,1.2,166548,6956,0.154,0.6,109709,4944,0.255,1.1,48014,3143,0.322,2.1
        5 or more bedrooms,39064,2971,0.055,0.4,53654,3199,0.132,0.8,44441,3845,0.087,0.8,10563,2377,0.027999999999999997,0.6,32576,2799,0.03,0.3,61268,3183,0.142,0.7,28093,2451,0.188,1.6
HOUSING TENURE,N/A,N/A,0.127,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.129,N/A,N/A,N/A,0.1345,N/A,N/A,N/A,0.1385,N/A,N/A,N/A,0.14100000000000001,N/A,N/A,N/A,0.129,N/A
    Occupied housing units,665549,3723,6655.49,N/A,392629,2507,3926.29,N/A,481294,4227,4812.94,N/A,341597,3999,3415.97,N/A,993312,5968,9933.12,N/A,414946,2811,4149.46,N/A,145601,1354,1456.01,N/A
        Owner-occupied,360190,5723,0.541,0.9,252963,4412,0.644,1.1,307341,5811,0.639,1.2,180349,6145,0.528,1.8,499830,7833,0.503,0.8,280307,4684,0.6759999999999999,1.1,113560,2790,0.78,1.9
