label_grouping,santa_clara_county_californiatotalestimate,santa_clara_county_californiatotalmargin_of_error,santa_clara_county_californiapercentestimate,santa_clara_county_californiapercentmargin_of_error,santa_clara_county_californiamaleestimate,santa_clara_county_californiamalemargin_of_error,santa_clara_county_californiapercent_maleestimate,santa_clara_county_californiapercent_malemargin_of_error,santa_clara_county_californiafemaleestimate,santa_clara_county_californiafemalemargin_of_error,santa_clara_county_californiapercent_femaleestimate,santa_clara_county_californiapercent_femalemargin_of_error,montgomery_county_marylandtotalestimate,montgomery_county_marylandtotalmargin_of_error,montgomery_county_marylandpercentestimate,montgomery_county_marylandpercentmargin_of_error,montgomery_county_marylandmaleestimate,montgomery_county_marylandmalemargin_of_error,montgomery_county_marylandpercent_maleestimate,montgomery_county_marylandpercent_malemargin_of_error,montgomery_county_marylandfemaleestimate,montgomery_county_marylandfemalemargin_of_error,montgomery_county_marylandpercent_femaleestimate,montgomery_county_marylandpercent_femalemargin_of_error,wake_county_north_carolinatotalestimate,wake_county_north_carolinatotalmargin_of_error,wake_county_north_carolinapercentestimate,wake_county_north_carolinapercentmargin_of_error,wake_county_north_carolinamaleestimate,wake_county_north_carolinamalemargin_of_error,wake_county_north_carolinapercent_maleestimate,wake_county_north_carolinapercent_malemargin_of_error,wake_county_north_carolinafemaleestimate,wake_county_north_carolinafemalemargin_of_error,wake_county_north_carolinapercent_femaleestimate,wake_county_north_carolinapercent_femalemargin_of_error,davidson_county_tennesseetotalestimate,davidson_county_tennesseetotalmargin_of_error,davidson_county_tennesseepercentestimate,davidson_county_tennesseepercentmargin_of_error,davidson_county_tennesseemaleestimate,davidson_county_tennesseemalemargin_of_error,davidson_county_tennesseepercent_maleestimate,davidson_county_tennesseepercent_malemargin_of_error,davidson_county_tennesseefemaleestimate,davidson_county_tennesseefemalemargin_of_error,davidson_county_tennesseepercent_femaleestimate,davidson_county_tennesseepercent_femalemargin_of_error,dallas_county_texastotalestimate,dallas_county_texastotalmargin_of_error,dallas_county_texaspercentestimate,dallas_county_texaspercentmargin_of_error,dallas_county_texasmaleestimate,dallas_county_texasmalemargin_of_error,dallas_county_texaspercent_maleestimate,dallas_county_texaspercent_malemargin_of_error,dallas_county_texasfemaleestimate,dallas_county_texasfemalemargin_of_error,dallas_county_texaspercent_femaleestimate,dallas_county_texaspercent_femalemargin_of_error,fairfax_county_virginiatotalestimate,fairfax_county_virginiatotalmargin_of_error,fairfax_county_virginiapercentestimate,fairfax_county_virginiapercentmargin_of_error,fairfax_county_virginiamaleestimate,fairfax_county_virginiamalemargin_of_error,fairfax_county_virginiapercent_maleestimate,fairfax_county_virginiapercent_malemargin_of_error,fairfax_county_virginiafemaleestimate,fairfax_county_virginiafemalemargin_of_error,fairfax_county_virginiapercent_femaleestimate,fairfax_county_virginiapercent_femalemargin_of_error,loudoun_county_virginiatotalestimate,loudoun_county_virginiatotalmargin_of_error,loudoun_county_virginiapercentestimate,loudoun_county_virginiapercentmargin_of_error,loudoun_county_virginiamaleestimate,loudoun_county_virginiamalemargin_of_error,loudoun_county_virginiapercent_maleestimate,loudoun_county_virginiapercent_malemargin_of_error,loudoun_county_virginiafemaleestimate,loudoun_county_virginiafemalemargin_of_error,loudoun_county_virginiapercent_femaleestimate,loudoun_county_virginiapercent_femalemargin_of_error
        40 to 44 years,127244,5147,0.068,0.3,63700,3254,0.067,0.3,63544,3368,0.069,0.4,73763,3861,0.07,0.4,36090,2337,0.07,0.5,37673,2581,0.069,0.5,89311,3875,0.075,0.3,42787,2569,0.073,0.4,46524,3101,0.077,0.5,47364,3944,0.066,0.6,22950,2912,0.067,0.8,24414,2565,0.066,0.7,166179,7235,0.064,0.3,82514,4253,0.064,0.3,83665,5040,0.064,0.4,86722,4891,0.076,0.4,43034,3414,0.076,0.6,43688,2518,0.076,0.4,36851,2937,0.084,0.7,17630,1959,0.081,0.9,19221,1851,0.08800000000000001,0.9
        45 to 49 years,120849,231,0.064,0.1,61008,170,0.064,0.1,59841,174,0.065,0.1,69944,158,0.066,0.1,34082,132,0.066,0.1,35862,49,0.066,0.1,84136,507,0.071,0.1,41516,326,0.071,0.1,42620,320,0.07,0.1,40395,1233,0.057,0.2,19944,500,0.057999999999999996,0.1,20451,1136,0.055999999999999994,0.3,157012,254,0.06,0.1,77007,138,0.06,0.1,80005,203,0.061,0.1,77898,163,0.068,0.1,38429,97,0.067,0.1,39469,123,0.069,0.1,35603,92,0.08199999999999999,0.1,18024,31,0.08199999999999999,0.1,17579,87,0.081,0.1
        50 to 54 years,124862,487,0.067,0.1,63367,334,0.066,0.1,61495,348,0.067,0.1,72235,325,0.068,0.1,34820,83,0.068,0.1,37415,298,0.069,0.1,82501,323,0.069,0.1,41335,261,0.071,0.1,41166,182,0.068,0.1,37814,1034,0.053,0.1,18915,398,0.055,0.1,18899,974,0.051,0.3,156195,340,0.06,0.1,76890,*****,0.059000000000000004,0.1,79305,340,0.06,0.1,78263,158,0.069,0.1,39057,74,0.069,0.1,39206,137,0.069,0.1,33563,71,0.077,0.1,17560,4,0.08,0.1,16003,70,0.07400000000000001,0.1
        55 to 59 years,115851,4577,0.062,0.2,58580,3068,0.061,0.3,57271,2952,0.062,0.3,67201,3409,0.063,0.3,33214,2223,0.064,0.4,33987,2113,0.063,0.4,71286,3682,0.06,0.3,33855,2351,0.057999999999999996,0.4,37431,2368,0.062,0.4,38374,2893,0.054000000000000006,0.4,20108,1860,0.057999999999999996,0.5,18266,1993,0.05,0.5,142638,5041,0.055,0.2,73672,3634,0.057,0.3,68966,3691,0.053,0.3,73175,3226,0.064,0.3,35503,2066,0.062,0.4,37672,2091,0.066,0.4,26107,1830,0.06,0.4,13599,1196,0.062,0.6,12508,1334,0.057,0.6
        60 to 64 years,112244,4600,0.06,0.2,57674,3149,0.06,0.3,54570,2900,0.059000000000000004,0.3,70002,3352,0.066,0.3,32733,2214,0.063,0.4,37269,2084,0.069,0.4,66530,3649,0.055999999999999994,0.3,33438,2336,0.057,0.4,33092,2362,0.054000000000000006,0.4,36294,2889,0.051,0.4,15587,1858,0.045,0.5,20707,1996,0.055999999999999994,0.5,143199,5040,0.055,0.2,68520,3634,0.053,0.3,74679,3690,0.057,0.3,68208,3252,0.06,0.3,34988,2067,0.061,0.4,33220,2092,0.057999999999999996,0.4,23938,1814,0.055,0.4,12127,1201,0.055,0.5,11811,1323,0.054000000000000006,0.6
        65 to 69 years,90302,3314,0.048,0.2,43913,2082,0.046,0.2,46389,2360,0.05,0.3,56295,2614,0.053,0.2,26602,1669,0.052000000000000005,0.3,29693,1832,0.055,0.3,55548,2634,0.047,0.2,26910,1565,0.046,0.3,28638,1964,0.047,0.3,32636,2233,0.046,0.3,14064,1500,0.040999999999999995,0.4,18572,1467,0.05,0.4,112894,3634,0.043,0.1,52548,2524,0.040999999999999995,0.2,60346,2571,0.046,0.2,58478,2683,0.051,0.2,27289,1838,0.048,0.3,31189,1633,0.055,0.3,14780,1427,0.034,0.3,6711,911,0.031,0.4,8069,1004,0.037000000000000005,0.5
        70 to 74 years,70216,3255,0.037000000000000005,0.2,33080,2011,0.035,0.2,37136,2388,0.04,0.3,48648,2609,0.046,0.2,22322,1666,0.043,0.3,26326,1822,0.049,0.3,40325,2456,0.034,0.2,16549,1449,0.027999999999999997,0.2,23776,1933,0.039,0.3,26660,2320,0.037000000000000005,0.3,12602,1684,0.037000000000000005,0.5,14058,1470,0.038,0.4,84159,3671,0.032,0.1,39271,2621,0.03,0.2,44888,2570,0.034,0.2,43760,2650,0.038,0.2,21923,1837,0.038,0.3,21837,1620,0.038,0.3,13466,1498,0.031,0.3,6883,927,0.031,0.4,6583,1088,0.03,0.5
        75 to 79 years,53150,2960,0.027999999999999997,0.2,23462,1724,0.025,0.2,29688,2116,0.032,0.2,38637,2948,0.037000000000000005,0.3,17042,1547,0.033,0.3,21595,2206,0.04,0.4,29808,2018,0.025,0.2,13114,1353,0.022000000000000002,0.2,16694,1510,0.027000000000000003,0.2,17386,1576,0.024,0.2,8104,996,0.024,0.3,9282,1188,0.025,0.3,57493,3262,0.022000000000000002,0.1,24524,1853,0.019,0.1,32969,2554,0.025,0.2,36795,1957,0.032,0.2,16566,1265,0.028999999999999998,0.2,20229,1654,0.035,0.3,9940,1155,0.023,0.3,4309,650,0.02,0.3,5631,870,0.026000000000000002,0.4
        80 to 84 years,39118,2561,0.021,0.1,16594,1637,0.017,0.2,22524,1855,0.024,0.2,21096,2242,0.02,0.2,9569,1443,0.019,0.3,11527,1574,0.021,0.3,18435,2235,0.015,0.2,8456,1408,0.015,0.2,9979,1680,0.016,0.3,9242,1181,0.013000000000000001,0.2,3541,763,0.01,0.2,5701,841,0.015,0.2,33548,2551,0.013000000000000001,0.1,13578,1302,0.011000000000000001,0.1,19970,2108,0.015,0.2,22960,1875,0.02,0.2,10741,1232,0.019,0.2,12219,1524,0.021,0.3,6888,1172,0.016,0.3,3270,689,0.015,0.3,3618,766,0.017,0.4
        85 years and over,35662,2937,0.019,0.2,14431,1593,0.015,0.2,21231,2004,0.023,0.2,22569,2400,0.021,0.2,7747,1381,0.015,0.3,14822,1751,0.027000000000000003,0.3,15123,1836,0.013000000000000001,0.2,5083,1010,0.009000000000000001,0.2,10040,1454,0.017,0.2,9043,1500,0.013000000000000001,0.2,2654,694,0.008,0.2,6389,1259,0.017,0.3,29542,2609,0.011000000000000001,0.1,11290,1582,0.009000000000000001,0.1,18252,1900,0.013999999999999999,0.1,15764,1821,0.013999999999999999,0.2,5905,990,0.01,0.2,9859,1438,0.017,0.3,4643,919,0.011000000000000001,0.2,1356,478,0.006,0.2,3287,677,0.015,0.3
    SELECTED AGE CATEGORIES,N/A,N/A,0.0665,N/A,N/A,N/A,0.0665,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.066,N/A,N/A,N/A,0.0675,N/A,N/A,N/A,0.0675,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.07050000000000001,N/A,N/A,N/A,0.069,N/A,N/A,N/A,0.061,N/A,N/A,N/A,0.067,N/A,N/A,N/A,0.0635,N/A,N/A,N/A,0.0685,N/A,N/A,N/A,0.07200000000000001,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.066,N/A,N/A,N/A,0.068,N/A,N/A,N/A,0.0675,N/A,N/A,N/A,0.07500000000000001,N/A,N/A,N/A,0.0775,N/A,N/A,N/A,0.07350000000000001,N/A
        5 to 14 years,208498,502,0.111,0.1,107243,540,0.11199999999999999,0.1,101255,353,0.11,0.1,135471,238,0.128,0.1,69546,141,0.135,0.1,65925,275,0.121,0.1,152883,242,0.128,0.1,78099,298,0.134,0.1,74784,207,0.12300000000000001,0.1,76416,248,0.107,0.1,38401,125,0.11199999999999999,0.1,38015,130,0.10300000000000001,0.1,355863,*****,0.13699999999999998,*****,181951,*****,0.141,0.1,173912,*****,0.132,0.1,145678,134,0.128,0.1,74802,92,0.131,0.1,70876,75,0.124,0.1,65865,129,0.151,0.1,33810,103,0.155,0.1,32055,55,0.147,0.1
        15 to 17 years,71908,423,0.038,0.1,37278,634,0.039,0.1,34630,671,0.038,0.1,44011,122,0.042,0.1,22778,122,0.044000000000000004,0.1,21233,2,0.039,0.1,50256,249,0.042,0.1,25640,244,0.044000000000000004,0.1,24616,161,0.040999999999999995,0.1,23145,92,0.032,0.1,11892,331,0.035,0.1,11253,334,0.031,0.1,114722,*****,0.044000000000000004,*****,58698,153,0.045,0.1,56024,153,0.043,0.1,47365,144,0.040999999999999995,0.1,24672,65,0.043,0.1,22693,102,0.04,0.1,21853,59,0.05,0.1,11441,460,0.052000000000000005,0.2,10412,458,0.048,0.2
        Under 18 years,374378,*****,0.19899999999999998,*****,193394,1113,0.20199999999999999,0.1,180984,1114,0.19699999999999998,0.1,238848,166,0.226,0.1,123029,258,0.239,0.1,115819,277,0.213,0.1,270699,55,0.22699999999999998,0.1,138065,214,0.237,0.1,132634,213,0.218,0.1,145228,238,0.204,0.1,73406,392,0.213,0.1,71822,335,0.195,0.1,645638,*****,0.248,*****,329713,189,0.255,0.1,315925,190,0.24100000000000002,0.1,257820,100,0.226,0.1,132529,104,0.233,0.1,125291,118,0.21899999999999997,0.1,114071,137,0.261,0.1,58815,810,0.26899999999999996,0.3,55256,815,0.254,0.3
        18 to 24 years,171329,1010,0.091,0.1,89263,442,0.09300000000000001,0.1,82066,964,0.08900000000000001,0.1,81951,387,0.077,0.1,41729,172,0.081,0.1,40222,252,0.07400000000000001,0.1,102963,293,0.087,0.1,51405,139,0.08800000000000001,0.1,51558,241,0.085,0.1,69753,278,0.098,0.1,33425,238,0.09699999999999999,0.1,36328,114,0.099,0.1,254076,370,0.09699999999999999,0.1,127754,171,0.099,0.1,126322,364,0.096,0.1,94018,171,0.08199999999999999,0.1,47902,73,0.084,0.1,46116,153,0.081,0.1,34996,548,0.08,0.1,17692,66,0.081,0.1,17304,540,0.08,0.2
        15 to 44 years,812868,494,0.433,0.1,428887,712,0.44799999999999995,0.1,383981,706,0.41700000000000004,0.1,397010,338,0.375,0.1,197358,169,0.38299999999999995,0.1,199652,320,0.368,0.1,506140,431,0.425,0.1,250234,321,0.429,0.1,255906,403,0.42100000000000004,0.1,342407,926,0.48100000000000004,0.1,167324,730,0.486,0.2,175083,741,0.47600000000000003,0.2,1158762,330,0.445,0.1,584480,189,0.452,0.1,574282,330,0.43700000000000006,0.1,456122,217,0.39899999999999997,0.1,231625,137,0.406,0.1,224497,221,0.392,0.1,175201,141,0.402,0.1,87517,477,0.4,0.2,87684,471,0.40299999999999997,0.2
        16 years and over,1553552,2415,0.8270000000000001,0.1,788744,1698,0.8240000000000001,0.2,764808,1661,0.831,0.2,848459,1585,0.802,0.1,408311,1003,0.792,0.2,440148,1376,0.8109999999999999,0.3,951610,2446,0.799,0.2,461528,1816,0.792,0.3,490082,1498,0.807,0.3,581955,1676,0.8170000000000001,0.2,277557,1396,0.8059999999999999,0.4,304398,1028,0.8270000000000001,0.3,2034431,3244,0.7809999999999999,0.1,1000936,2597,0.774,0.2,1033495,2217,0.787,0.2,916511,1690,0.8029999999999999,0.1,454799,1357,0.7979999999999999,0.2,461712,1231,0.807,0.2,336068,1331,0.77,0.3,167692,1117,0.767,0.6,168376,827,0.774,0.4
        18 years and over,1503214,*****,0.8009999999999999,*****,763718,201,0.7979999999999999,0.1,739496,203,0.8029999999999999,0.1,819626,166,0.774,0.1,392711,180,0.7609999999999999,0.1,426915,211,0.787,0.1,919576,55,0.773,0.1,444850,111,0.763,0.1,474726,119,0.782,0.1,567106,238,0.7959999999999999,0.1,270951,238,0.787,0.1,296155,*****,0.805,0.1,1960720,*****,0.752,*****,963082,*****,0.745,0.1,997638,*****,0.759,0.1,884058,100,0.774,0.1,437354,183,0.767,0.1,446704,152,0.7809999999999999,0.1,322276,137,0.7390000000000001,0.1,159915,159,0.731,0.3,162361,112,0.746,0.3
        21 years and over,1430194,2830,0.762,0.2,727149,2001,0.76,0.2,703045,2227,0.764,0.3,786018,2285,0.743,0.2,375457,1261,0.728,0.2,410561,1818,0.7559999999999999,0.3,875114,2576,0.735,0.2,423810,1678,0.727,0.3,451304,1861,0.743,0.3,540631,1835,0.759,0.3,258497,980,0.7509999999999999,0.3,282134,1763,0.767,0.5,1858580,3238,0.713,0.1,909006,2637,0.703,0.2,949574,2220,0.723,0.2,844985,1842,0.74,0.2,417531,1174,0.733,0.2,427454,1392,0.747,0.2,306330,1673,0.7020000000000001,0.4,152395,928,0.6970000000000001,0.5,153935,1378,0.7070000000000001,0.7
        60 years and over,400692,4578,0.213,0.2,189154,3111,0.198,0.3,211538,2916,0.23,0.3,257247,3379,0.243,0.3,116015,2195,0.225,0.4,141232,2099,0.26,0.4,225769,3689,0.19,0.3,103550,2354,0.17800000000000002,0.4,122219,2378,0.201,0.4,131261,2893,0.184,0.4,56552,1861,0.16399999999999998,0.5,74709,1993,0.203,0.5,460835,5040,0.177,0.2,209731,3633,0.162,0.3,251104,3689,0.191,0.3,245965,3229,0.215,0.3,117412,2052,0.20600000000000002,0.4,128553,2087,0.225,0.4,73655,1827,0.16899999999999998,0.4,34656,1205,0.158,0.5,38999,1322,0.179,0.6
        62 years and over,351354,3300,0.187,0.2,162715,2297,0.17,0.2,188639,2555,0.205,0.3,229907,3323,0.217,0.3,102478,2232,0.19899999999999998,0.4,127429,2337,0.235,0.4,195717,2939,0.16399999999999998,0.2,88197,1975,0.151,0.3,107520,1908,0.177,0.3,116290,2555,0.163,0.4,50388,1748,0.146,0.5,65902,1743,0.179,0.5,404121,5256,0.155,0.2,181603,3679,0.14,0.3,222518,3522,0.16899999999999998,0.3,217030,2840,0.19,0.2,102177,1683,0.179,0.3,114853,2143,0.201,0.4,61776,1574,0.142,0.4,28486,1160,0.13,0.5,33290,1115,0.153,0.5
        65 years and over,288448,463,0.154,0.1,131480,293,0.13699999999999998,0.1,156968,406,0.171,0.1,187245,175,0.177,0.1,83282,222,0.161,0.1,103963,126,0.192,0.1,159239,224,0.134,0.1,70112,134,0.12,0.1,89127,192,0.147,0.1,94967,201,0.133,0.1,40965,139,0.11900000000000001,0.1,54002,140,0.147,0.1,317636,*****,0.122,*****,141211,*****,0.109,0.1,176425,*****,0.134,0.1,177757,167,0.156,0.1,82424,134,0.145,0.1,95333,98,0.16699999999999998,0.1,49717,130,0.114,0.1,22529,115,0.10300000000000001,0.1,27188,87,0.125,0.1
        75 years and over,127930,532,0.068,0.1,54487,475,0.057,0.1,73443,256,0.08,0.1,82302,239,0.078,0.1,34358,243,0.067,0.1,47944,78,0.08800000000000001,0.1,63366,543,0.053,0.1,26653,548,0.046,0.1,36713,134,0.06,0.1,35671,773,0.05,0.1,14299,584,0.042,0.2,21372,425,0.057999999999999996,0.1,120583,280,0.046,0.1,49392,281,0.038,0.1,71191,*****,0.054000000000000006,0.1,75519,135,0.066,0.1,33212,127,0.057999999999999996,0.1,42307,40,0.07400000000000001,0.1,21471,599,0.049,0.1,8935,247,0.040999999999999995,0.1,12536,517,0.057999999999999996,0.2
