label_grouping,santa_clara_county_californiaestimate,santa_clara_county_californiaestimate_margin_of_error,santa_clara_county_californiapercent,santa_clara_county_californiapercent_margin_of_error,montgomery_county_marylandestimate,montgomery_county_marylandestimate_margin_of_error,montgomery_county_marylandpercent,montgomery_county_marylandpercent_margin_of_error,wake_county_north_carolinaestimate,wake_county_north_carolinaestimate_margin_of_error,wake_county_north_carolinapercent,wake_county_north_carolinapercent_margin_of_error,davidson_county_tennesseeestimate,davidson_county_tennesseeestimate_margin_of_error,davidson_county_tennesseepercent,davidson_county_tennesseepercent_margin_of_error,dallas_county_texasestimate,dallas_county_texasestimate_margin_of_error,dallas_county_texaspercent,dallas_county_texaspercent_margin_of_error,fairfax_county_virginiaestimate,fairfax_county_virginiaestimate_margin_of_error,fairfax_county_virginiapercent,fairfax_county_virginiapercent_margin_of_error,loudoun_county_virginiaestimate,loudoun_county_virginiaestimate_margin_of_error,loudoun_county_virginiapercent,loudoun_county_virginiapercent_margin_of_error
    Occupied housing units,599235,3770,5992.35,N/A,359476,2836,3594.76,N/A,338054,3843,3380.54,N/A,249899,3777,2498.99,N/A,843416,4626,8434.16,N/A,389415,3502,3894.15,N/A,102979,2217,1029.79,N/A
    Owner-occupied,342955,4963,0.5720000000000001,0.8,238022,4307,0.662,1.1,224624,3870,0.664,1.0,135598,3957,0.5429999999999999,1.4,448918,6552,0.532,0.8,272224,4427,0.6990000000000001,1.0,80627,2460,0.7829999999999999,1.9
    Renter-occupied,256280,5605,0.428,0.8,121454,4093,0.33799999999999997,1.1,113430,3980,0.336,1.0,114301,3985,0.457,1.4,394498,7447,0.46799999999999997,0.8,117191,4345,0.301,1.0,22352,2125,0.217,1.9
    Average household size of owner-occupied unit,3.01,0.04,0.1215,N/A,2.84,0.04,0.12300000000000001,N/A,2.75,0.04,0.1455,N/A,2.49,0.06,0.133,N/A,2.93,0.04,0.1335,N/A,2.81,0.04,0.1255,N/A,3.16,0.07,0.122,N/A
    Average household size of renter-occupied unit,2.86,0.04,0.1215,N/A,2.42,0.07,0.12300000000000001,N/A,2.37,0.07,0.1455,N/A,2.31,0.06,0.133,N/A,2.60,0.04,0.1335,N/A,2.65,0.08,0.1255,N/A,2.63,0.16,0.122,N/A
YEAR HOUSEHOLDER MOVED INTO UNIT,N/A,N/A,0.1215,N/A,N/A,N/A,0.12300000000000001,N/A,N/A,N/A,0.1455,N/A,N/A,N/A,0.133,N/A,N/A,N/A,0.1335,N/A,N/A,N/A,0.1255,N/A,N/A,N/A,0.122,N/A
    Occupied housing units,599235,3770,5992.35,N/A,359476,2836,3594.76,N/A,338054,3843,3380.54,N/A,249899,3777,2498.99,N/A,843416,4626,8434.16,N/A,389415,3502,3894.15,N/A,102979,2217,1029.79,N/A
    Moved in 2005 or later,282245,5474,0.47100000000000003,0.8,156028,4679,0.434,1.2,190593,4518,0.564,1.0,143820,4224,0.5760000000000001,1.4,465673,7142,0.552,0.7,172989,5618,0.444,1.3,57823,2733,0.562,2.3
    Moved in 2000 to 2004,101772,4622,0.17,0.8,66425,3669,0.185,1.0,61962,3270,0.183,1.0,35713,2785,0.14300000000000002,1.1,132991,5345,0.158,0.6,77495,3834,0.19899999999999998,1.0,22948,2015,0.223,2.0
    Moved in 1990 to 1999,101476,4264,0.16899999999999998,0.7,68551,3264,0.191,0.9,51726,2727,0.153,0.8,35918,2782,0.14400000000000002,1.1,128011,5166,0.152,0.6,73445,3998,0.18899999999999997,1.0,15679,1583,0.152,1.5
